support_for_blank;دعم النص $
uh_support_for_blank;دعم مجلس الشيوخ لـ $text$
up_to;يصل إلى
scaled_support;يتناسب مع دعم $text$
scaled_unemployment;يتناسب مع البطالة
stockpile_of;إلى المخزون الوطني من $text$
create_general;يتم إنشاء جنرال جديد
create_admiral;تم إنشاء أميرال جديد
add_war_goal;تمت إضافة هدف حرب $text$ ضد $nation$
blank_loyalty;الولاء $text$
in_blank;في $النص$
no_effect;بدون تأثير
move_capital_to;نقل رأس المال إلى
add_x_core;أضف $adj$ الأساسية
add_core_to;إضافة الأساسية ل
remove_x_core;قم بإزالة $adj$ الأساسية
remove_core_from;إزالة الأساسية من
change_name_to;تغيير الاسم إلى $text$
change_terrain_to;تغيير التضاريس إلى $text$
change_rgo_production_to;قم بتغيير إنتاج RGO إلى $text$
make_accepted_culture;يصبح $text$ ثقافة مقبولة
primary_culture_changes_to;تتغير الثقافة الأساسية إلى $text$
union_culture_accepted;تصبح جميع الثقافات في المجموعة الثقافية الأساسية للدولة مقبولة
remove_accepted_culture;يتوقف $text$ عن كونه ثقافة مقبولة
increase_national_variable_by;زيادة المتغير الوطني $text$ بمقدار $value$
decrease_national_variable_by;قم بتقليل المتغير الوطني $text$ بمقدار $value$
life_rating;تصنيف الحياة
make_national_religion;$text$ يصبح الدين الوطني
make_slave_state;تصبح دولة العبيد
make_slave_pop;يصبح عبدا
research_points;نقاط البحث
change_tech_school;مدرسة التكنولوجيا تتغير إلى $text$
change_government_to;الحكومة تغير إلى $text$
add_to_treasury;تضاف إلى الخزينة
war_exhaustion;إنهاك الحرب
become_blank;يصبح $text$
player_control_change;يتغير التحكم في المشغل إلى $text$
set_national_flag;تم تعيين $text$ لهذه الأمة
remove_national_flag;لم يتم تعيين $text$ لهذه الأمة
infamy;العار
change_province_owner;قم بتغيير مالك المقاطعة إلى $text$
annex_effect;الملحق $النص$
annexed_by_effect;تم إرفاقه بـ $text$
core_return;يتم إرجاع النوى $adj$ إلى $text$
core_return_short;يتم إرجاع النوى $adj$
change_province_controller;تغيير وحدة تحكم المقاطعة إلى $text$
change_state_controller;تغيير وحدة تحكم الحالة إلى $text$
pop_savings;مدخرات البوب
leadership_points;نقاط القيادة
release_as_vassal;حرر $text$ باعتباره تابعًا
end_alliance;إنهاء التحالف مع $text$
end_war_with;إنهاء الحرب مع $text$
enable_ideology;تمكين الأيديولوجيا؟Y$text$؟!
enable_technology;إعطاء التكنولوجيا ؟Y$text$؟!
enable_invention;إعطاء الاختراع ؟Y$text$؟!
change_ruling_party;تغيير الحزب الحاكم إلى $text$
remove_prov_mod;قم بإزالة مُعدل المقاطعة $text$
remove_nat_mod;إزالة المعدل الوطني $text$
make_alliance;الدخول في تحالف مع $text$
becomes_independent;يصبح $text$ دولة مستقلة
release_as_independent;الافراج عن $text$ كدولة مستقلة
set_global_flag;قم بتعيين $text$ عالميًا
remove_global_flag;قم بإلغاء تعيين $text$ عالميًا
change_national_value;قم بتغيير القيمة الوطنية إلى $text$
become_civ;تصبح أمة متحضرة
become_unciv;تصبح أمة غير متحضرة
free_slave_state;تصبح دولة حرة
free_slave_pop;يتحرر من العبودية
hold_election;إجراء الانتخابات
issue_change;يتغير $issue$ إلى $text$
add_relative_income;مرات آخر دخل يضاف إلى الخزانة
make_neutral;انتهت جميع التحالفات وتم إطلاق سراح جميع التابعين
pop_size;حجم البوب
move_pop_to;انقل البوب ​​إلى $text$
change_pop_type;قم بتغيير نوع البوب ​​إلى $text$
years_of_research;سنوات من البحث
remove_mil_reforms;إزالة الإصلاحات العسكرية بقيمة $value$
remove_econ_reforms;إزالة الإصلاحات الاقتصادية ذات القيمة $
add_crime;أضف جريمة $text$
remove_crime;إزالة الجريمة النشطة
perform_nationalization;تنفيذ التأميم
build_factory_in_capital;بناء $text$ في حالة رأس المال
enable_great_wars;الحروب الكبرى ممكنة
enable_world_wars;الحروب العالمية ممكنة
disable_great_wars;الحروب الكبرى لم تعد ممكنة
disable_world_wars;الحروب العالمية لم تعد ممكنة
assimilate_pop;تغيير الثقافة إلى $text$
assimilate_province;قم بتغيير ثقافة جميع النوافذ المنبثقة إلى $text$
owner_primary_culture;الثقافة الأساسية لصاحبها
literacy;معرفة القراءة والكتابة
add_crisis_interest;يصبح مهتما بالأزمة الحالية
crisis_temperature_plain;درجة حرارة الأزمة
militancy;التشدد
consciousness;الوعي
rgo_size;حجم آر جي أو
trigger_every_revolt;إثارة ثورة من كل فصيل متمرد
call_allies;دعوة الحلفاء إلى حروبهم الحالية
truce_with;هدنة مع $text$ حتى ?Y$y$؟!
diplomatic_influence_with;النفوذ الدبلوماسي مع $text$
relations_with;العلاقة مع $text$
add_modifier_until;يحصل على $text$ حتى $date$
add_modifier;يحصل على $text$
add_cb_months;يحصل على $name$ سببًا للحرب مقابل $text$ حتى $date$
add_cb_no_months;يحصل على $name$ سببًا للحرب مقابل $text$
add_cb_reversed_months;يحصل $text$ على $name$ سببًا للحرب ضد الأمة في النطاق حتى $date$
add_cb_reversed_no_months;يحصل $text$ على $name$ سببًا للحرب ضد الأمة في نطاقه
remove_cb_reversed;يخسر أي $name$ سببًا للحرب مقابل $text$
remove_cb;يخسر $text$ أي سبب للحرب $name$ ضد الأمة في نطاقه
set_national_variable_to;قم بتعيين المتغير الوطني $text$ إلى $value$
event_fires;يتم تشغيل الحدث $text$
event_fires_in_days;يتم تشغيل الحدث $text$ خلال أيام $value$
railroad_in_capital;؟ز+1؟! مستوى السكك الحديدية في العاصمة
railroad_in_capital_state;؟ز+1؟! مستوى السكك الحديدية في ولاية العاصمة
fort_in_capital;؟ز+1؟! مستوى الحصن في العاصمة
fort_in_capital_state;؟ز+1؟! مستوى الحصن في ولاية العاصمة
fort_in_capital;؟ز+1؟! مستوى الحصن في العاصمة
fort_in_capital_state;؟ز+1؟! مستوى الحصن في ولاية العاصمة
university_in_capital;؟ز+1؟! المستوى الجامعي في العاصمة
university_in_capital_state;؟ز+1؟! المستوى الجامعي في ولاية العاصمة
bank_in_capital;؟ز+1؟! مستوى البنك في رأس المال
bank_in_capital_state;؟ز+1؟! مستوى البنك في دولة رأس المال
railroad_level;مستوى السكك الحديدية
fort_level;مستوى الحصن
naval_base_level;مستوى القاعدة البحرية
university_base_level;مستوى القاعدة البحرية
bank_base_level;مستوى القاعدة البحرية
apply;يتقدم
ok;نعم
close;يغلق
delete;يمسح
new;جديد
reset;إعادة ضبط
every;كل
ready;مستعد
any;أي
none;لا أحد
random;عشوائي
neighboring_province;المقاطعة المجاورة
where;أين:
neighboring_nation;الأمة المجاورة
nation;أمة
continent;القارة
same_continent;في نفس القارة
empty_neighboring_province;المحافظة المجاورة فارغة
poor_strata_pop;الطبقات الفقيرة البوب
middle_strata_pop;الطبقات الوسطى البوب
rich_strata_pop;الطبقات الغنية البوب
pop;البوب
owned_province;المحافظة التابعة لها
singular_nation;تلك الأمة
singular_state;تلك الدولة
singular_province;تلك المقاطعة
singular_pop;هذا البوب
one_of_the_following;أحد التأثيرات التالية:
this_nation;هذه الأمة
this_state;هذه الدولة
this_province;هذه المقاطعة
this_pop;هذا البوب
from_nation;من الأمة
from_state;من الدولة
from_province;من المحافظة
from_pop;من البوب
province_in;مقاطعة في
this_nation_culture;الثقافة الأساسية لهذه الأمة
from_nation_culture;الثقافة الأساسية للأمة
cultural_union_nation;الأمة الثقافية الموحدة لثقافتها الأولية
core_of;في قلب
state_of;حالة من
chance_of;فرصة:
owner_of;مالك
controller_of;وحدة تحكم
location_of_pop;موقع هذا البوب
nation_of_pop;الأمة التي تحتوي على تلك البوب
capital_of;عاصمة
containing_state;الدولة التي تحتوي على
adjacent_sea;المنطقة البحرية المجاورة
cultural_union_of;الاتحاد الثقافي
overlord_of;أفرلورد من
sphere_leader_of;زعيم المجال
crisis_state;حالة الأزمة
reb_independence_nation;أمة الاستقلال المتمردة
flashpoint_nation;أمة نقطة مضيئة
rebel;المتمردين
flashpoint_tension_label;التوتر نقطة الوميض
for_text;للنص $$
where_ideology_is;حيث أيديولوجيتها هي $text$
where_culture_is;حيث ثقافتها هي $text$
where_religion_is;حيث دينها هو $text$
of_type;من النوع $text$
no_nation;لا أمة
declare_war_on;أعلن الحرب على $text$
attacker_wg_label;هدف حرب المهاجم: $text$
defender_wg_label;هدف حرب المدافع: $text$
attacker_no_allies;لن يتم استدعاء حلفاء المهاجم
attacker_yes_allies;سيتم استدعاء حلفاء المهاجم
war_start_date_desc;بدأت الحرب في ?Y$date$؟!
cmp_ge;هذا على الاقل
cmp_le;هو على الأكثر
cmp_gt;أكبر من
cmp_lt;اقل من
cmp_eq;يكون
cmp_ne;ليس
cmp_has_eq;لديه
cmp_has_ne;لا يمتلك
cmp_has_lt;لديه أقل من
cmp_has_gt;لديه أكثر من
cmp_has_ge;لديه على الاقل
cmp_has_le;لديه على الأكثر
all_of_the_following;كل ما يلي:
any_of_the_following;اى من التالية:
nation_at_war_against;أمة في حالة حرب ضد
core_in;الأساسية في
colonial_pop;تقع في مقاطعة استعمارية
substate_of;الحالة الفرعية ل
nation_in_sphere;الأمة في مجال
year;سنة
month;شهر
a_port;ميناء
national_rank;رتبة وطنية
att_technology;تكنولوجيا
strata;طبقات
rich;ثري
poor;فقير
middle;وسط
minimum_state_life_raing;الحد الأدنى من تصنيف الحياة في الدولة
an_empy_adj_prov;مقاطعة مجاورة فارغة
belongs_to_same_state;ينتمي إلى نفس الحالة مثل $text$
does_not_belong_to_same_state;لا ينتمي إلى نفس الحالة مثل $text$
contains_blank;يحتوي على $text$
does_not_contain_blank;لا يحتوي على $text$
times_target_needs_spending;الأوقات المرغوبة تحتاج إلى الإنفاق
unemployment;البطالة
slavery;عبودية
allowed;مسموح
a_slave_state;دولة العبيد
a_slave;عبد
an_independent_nation;أمة مستقلة
non_prim_culture_pops;غير الملوثات العضوية الثابتة الثقافة الأولية
government;حكومة
capital;عاصمة
technology_school;مدرسة التكنولوجيا
primary_culture;الثقافة الأولية
primary_culture_pop;الثقافة الأساسية للأمة التي يعيش فيها البوب
an_accepted_culture;ثقافة مقبولة
culture;ثقافة
dominant_culture;الثقافة السائدة
a_primary_or_accepted;ثقافة أساسية أو مقبولة
rebel_culture;ثقافة المتمردين
this_nation_prim_culture;الثقافة الأساسية أو الثقافة المقبولة لهذه الأمة
from_nation_prim_culture;الثقافة الأولية أو الثقافة المقبولة للأمة
culture_group;مجموعة الثقافة
dominant_culture_group;المجموعة الثقافية المهيمنة
primary_culture_group;مجموعة الثقافة الأولية
a_core_ob;الأساسية التي يملكها
rebel_culture_group;المجموعة الثقافية المتمردة
this_nation_culture_group;نفس المجموعة الثقافية لهذه الأمة
from_nation_culture_group;نفس المجموعة الثقافية للأمة
rebel_religion;الدين المتمرد
this_nation_religion;الدين الوطني لهذه الأمة
from_nation_religion;الدين الوطني للأمة
province_terrain;تضاريس المحافظة
rgo_production;إنتاج آر جي أو
a_secondary_power;قوة استعمارية
owner;مالك
an_active_rebel;فصيل متمرد نشط
a_member_of;عضو
unclaimed_cores;النوى لم يطالب بها أحد
a_cultural_union;اتحاد ثقافي
union_for_pop;الاتحاد الثقافي لشعب
union_for_nation;الاتحاد الثقافي للأمة
the_rebel_ind_nation;أمة الاستقلال المتمردة
capitalists_can_build;يُسمح للرأسماليين ببناء المصانع
capitalists_cannot_build;لا يُسمح للرأسماليين ببناء المصانع
at_war;في الحرب
total_blockade;الحصار الشامل
owns;يمتلك
does_not_own;لا يملك
controls;ضوابط
does_not_control;لا يتحكم
a_core_in;جوهر في
a_core_of;جوهر
a_core_of_owner;نواة صاحبها
located_in_a_core_of;تقع في قلب
percentage_reb_control;نسبة المحافظات التي يسيطر عليها المتمردون
num_of_reb_control;عدد المحافظات التي يسيطر عليها المتمردون
num_owned_provinces;عدد المحافظات المملوكة
num_provinces_owned_by;عدد المحافظات المملوكة لها
num_of_ports;عدد المنافذ
num_of_allies;عدد الحلفاء
num_of_vassals;عدد التابعين
owned_by;مملوكة من قبل
exists;موجود
does_not_exist;غير موجود
att_set;تعيين
in;في
located_in;يقع في
the_owner_of_region;مالك كل محافظة في
a_casus_belli_against;سببا للحرب ضد
military_access_with;الوصول العسكري مع
prestige_of;هيبة
prestige;هيبة
a_railroad;السكك الحديدية
a_fort;قلعة
a_naval_base;قاعدة بحرية
a_factory;مصنع
empty;غير مملوكة
blockaded;محاصر
national_modifier;المعدل الوطني
provincial_modifier;معدل المقاطعة
part_of;جزء من
a_border_with;الحدود مع
units_in_province;الوحدات في المحافظة
units_in_the_province;الوحدات في المحافظة
units_in_the_state;الوحدات في الدولة
at_war_against;في حرب ضد
num_of_divisions;عدد من الأقسام
an_ongoing_battle;معركة مستمرة
treasury;خزينة
o_treasury;خزينة المالك
o_of_prov;صاحب المحافظة
percentage_unowned_cores;نسبة النوى غير المملوكة
a_vassal;تابع
ruling_party_ideology;أيديولوجية الحزب الحاكم
ruling_party;الحزب الحاكم
enabled;ممكن
political_reform_desire;الرغبة في الإصلاح السياسي
social_reform_desire;الرغبة في الإصلاح الاجتماعي
num_of_ships;عدد السفن
crime_percent;النسبة المئوية للمقاطعات التي تعاني من الجريمة
national_religion;الوطنية_الدين
member_of_nat_religion;عضو في الدين الوطني
dominant_religion;الدين السائد
same_rel_as_this;نفس دين هذه الأمة
this_pop_culture;ثقافة هذا البوب
this_nation_primary_culture;الثقافة الأساسية لهذه الأمة
this_nation_accepted_culture;ثقافة مقبولة لهذه الأمة
coastal;الساحلية
in_sphere_of;في مجال
a_producer_of;منتج ل
next_reform;الإصلاح القادم
always;دائماً
never;أبداً
percentage_recruited;النسبة المئوية للملوثات العضوية الثابتة المعينين
in_cultural_core_prov;في مقاطعة ذات جوهر نفس الثقافة
nationalism;القومية
overseas;ما وراء البحار
overseas_pop;تقع في مقاطعة في الخارج
controlled_by_rebel;التي يسيطر عليها المتمردون
controlled_by;تسيطر عليها
state_capital;عاصمة الولاية
loc_state_capital;تقع في عاصمة الولاية
a_truce_with;هدنة مع
att_population;سكان
size;مقاس
pops_of_type;الملوثات العضوية الثابتة من النوع
of_type_plain;من النوع
ai_controlled;تسيطر عليها منظمة العفو الدولية
a_leader_named;زعيم اسمه
a_possible_vassal;تابع محتمل
a_vassal_of;تابع ل
a_substate_of;دولة فرعية من
allied_to;متحالفة مع
has_recently_lost_war;لقد خسرت الحرب مؤخرًا
has_not_recently_lost_war;لم يخسر الحرب في الآونة الأخيرة
mobilized;حشدت
mobilization_size;حجم التعبئة
admin_spending;الإنفاق الإداري
greater_than_edu_spending;أكبر من الإنفاق على التعليم
support_for_rp;دعم الحزب الحاكم
colonial;الاستعماري
in_default_to;في الافتراضي ل
in_bnkrpt;مفلس
num_of_ports_connected;عدد المنافذ المرتبطة برأس المال
holding_an_election;إجراء الانتخابات
set_globally;تعيين عالميا
national_value;القيمة الوطنية
industrial_score;النتيجة الصناعية
industrial_score_of;النتيجة الصناعية
military_score;النتيجة العسكرية
military_score_of;النتيجة العسكرية
civilized;متحضر
percent_occupied;نسبة المحافظات المحتلة
rich_tax;ضريبة غنية
middle_tax;ضريبة وسطية
poor_tax;ضريبة سيئة
soc_spending;الإنفاق الاجتماعي
edu_spending;الإنفاق على التعليم
mil_spending;الإنفاق العسكري
colonies;مستعمرات
dominant_ideology;الأيديولوجية المهيمنة
dominant_issue;القضية المهيمنة
poor_militancy;نضالية الطبقات الفقيرة
middle_militancy;نضال الطبقة الوسطى
rich_militancy;نضال الطبقات الغنية
gt_poor_tax;أعظم من ضريبة الفقراء
cultural_union;الاتحاد الثقافي
same_cultural_union;نفس الاتحاد الثقافي
non_accepted_pops;الملوثات العضوية الثابتة غير المقبولة
crime;جريمة
num_substates;عدد الولايات الفرعية
num_vassals_no_substates;عدد التابعين غير الفرعيين
num_regiments;عدد الأفواج
owner_num_regiments;عدد أفواج المالك
num_regiments_of;عدد الأفواج التابعة لها
times_num_regiments_of;$x$ أضعاف عدد الأفواج التي تنتمي إليها
fabricating_on;اختلاق سبب للحرب
cb_discovered;تم اكتشاف تلفيق سبب للحرب
cb_not_discovered;لم يتم اكتشاف تلفيق سبب للحرب
cb_progress;التقدم في التصنيع سبب للحرب
civ_progress;التقدم الحضاري
constructing_a;افتعال أ
casus_belli;للحرب سببا لل
nation_in_scope;الأمة في نطاقها
a_substate;دولة فرعية
gw_enabled;تم تمكين الحروب العظيمة
gw_not_enabled;لم يتم تمكين الحروب الكبرى
ww_enabled;تم تمكين الحروب العالمية
ww_not_enabled;لم يتم تمكين الحروب العالمية
can_perform_nationalization;يمكن تأميمها
cannot_perform_nationalization;لا يمكن التأميم
in_sphere;في مجال النفوذ
num_states;عدد الولايات
a_releasable_vassal;تابع يمكن إطلاقه
recent_immigration;الهجرة الأخيرة
num_control_days;عدد الأيام تحت السيطرة الحالية
disarmed;منزوع السلاح
social_mov_support;دعم الحركة الاجتماعية
political_mov_support;دعم الحركة السياسية
a_member_of_social_mov;عضو في حركة اجتماعية
a_member_of_political_mov;عضو في حركة سياسية
cultural_sphere_members;أعضاء المجال في نفس المجموعة الثقافية
pops;للملوثات العضوية الثابتة
this_pop_religion;دين هذا البوب
pops_with;ينبثق مع
life_needs_satisfaction;الحياة تحتاج إلى الرضا
everyday_needs_satisfaction;الاحتياجات اليومية الرضا
luxury_needs_satisfaction;الرفاهية تحتاج إلى الرضا
present_in_state;موجود في الدولة
flashpoint;نقطة الوميض
plurality_pop;تعددية الأمة التي ينتمي إليها البوب
an_ongoing_crisis;أزمة مستمرة
there;هناك
current_crisis;الأزمة الحالية
liberation_crisis;أزمة تحرير
claim_crisis;أزمة المطالبات
involved_in_crisis;متورط في الأزمة
poor_life_needs_satisfaction;حياة الطبقات الفقيرة تحتاج إلى الرضا
poor_everyday_needs_satisfaction;الطبقات الفقيرة اليومية تحتاج إلى الرضا
poor_luxury_needs_satisfaction;ترف الطبقات الفقيرة يحتاج إلى الرضا
middle_life_needs_satisfaction;حياة الطبقة الوسطى تحتاج إلى الرضا
middle_everyday_needs_satisfaction;الطبقة الوسطى تحتاج كل يوم إلى الرضا
middle_luxury_needs_satisfaction;الطبقة الوسطى من الرفاهية تحتاج إلى الرضا
rich_life_needs_satisfaction;حياة الطبقات الغنية تحتاج إلى الرضا
rich_everyday_needs_satisfaction;الطبقات الغنية تحتاج كل يوم إلى الرضا
rich_luxury_needs_satisfaction;ترف الطبقات الغنية يحتاج إلى الرضا
dip_influence_over;النفوذ الدبلوماسي
relationship_with;علاقة مع
this_pop_type;هذا النوع من البوب
nat_variable;المتغير الوطني
support_in_uh;الدعم في مجلس الشيوخ
support_in;الولاء في
scope_province;المحافظة في نطاقها
able_build_rr;قادرة على بناء السكك الحديدية في هذه المحافظة
able_build_fort;قادرة على بناء حصن في هذه المحافظة
able_build_naval_base;قادرة على بناء قاعدة بحرية في هذه المحافظة
work;عمل
available_for;متاح لى:
support;يدعم
percentage;نسبة مئوية
stockpile;مخزون
this_nat_religion;الدين الوطني لهذا البلد
from_nat_religion;الدين الوطني للبلد
event_show_requirements;متطلبات الحدث
event_only_other_requirements;يتم تشغيل هذا الحدث فقط من خلال أحداث أخرى
event_show_odds;احتمالات الحدث
value_mod_product;القيمة $val$ هي حاصل ضرب:
value_mod_sum;القيمة $val$ هي مجموع:
value_mod_sum_factor;القيمة $val$ هي $x$ مضروبة في مجموع:
admin_explain_1;معدل الكفاءة الإدارية $val$
admin_explain_2;تطبق على نسبة البيروقراطيين غير الاستعماريين: $val$
admin_explain_3;إلى النسبة المطلوبة: $val$ (الأساس $x$ + $y$ من الإصلاحات)
factory_condition_1;الأمة متحضرة
factory_condition_2;هذه ليست دولة استعمارية
factory_condition_3;الحزب الحاكم يسمح ببناء المصانع
factory_condition_4;يوجد أقل من مصانع $val$ في الولاية
cant_subsidize_explanation;الحزب الحاكم لا يسمح لنا بدعم المصانع
percent_of_pop_strata;$val$ من سكان طبقاتهم
cant_prioritize_explanation;الحزب الحاكم لا يسمح لنا بتغيير أولوية المصنع
factory_upgrade_condition_1;الأمة متحضرة
factory_upgrade_condition_2;هذه ليست دولة استعمارية
factory_upgrade_condition_3;استيفاء المتطلبات التقنية اللازمة لبناء المصنع
factory_upgrade_condition_4;أمتك قوة عظمى بينما الأمة المستهدفة ليست كذلك
factory_upgrade_condition_5;الهدف الاستثماري حضاري
factory_upgrade_condition_6;الحزب الحاكم للاستثمار المستهدف يسمح بالاستثمار الأجنبي
factory_upgrade_condition_7;الهدف الاستثماري ليس في حالة حرب معك
factory_upgrade_condition_8;الحزب الحاكم يسمح بتحديث المصانع
factory_upgrade_condition_9;لم تتم ترقية المصنع بالفعل
factory_upgrade_condition_10;المصنع ليس في المستوى الأقصى
factory_delete_header;حذف المصنع
factory_delete_not_allowed;الحزب الحاكم لا يسمح لنا بحذف المصانع
factory_stats_1;يعمل هذا المصنع حاليًا بقدرة $val$
factory_stats_2;يستهدف هذا المصنع القدرة $val$
factory_stats_3;لقد أنتجت وحدات $val$ بقيمة $x$ في اليوم السابق
factory_stats_4;لقد حققت ربحًا قدره $val$ في اليوم السابق
factory_stats_5;توفر المدخلات:
factory_stats_6;توافر مدخلات الكفاءة:
factory_stats_wage;الأجر:
factory_stats_expenses;المصروفات الكلية
factory_stats_desired_income;الربح الخام المرغوب فيه
speed;$فال$ كم/ساعة
shift_to_hold_open;عقد؟YSHIFT؟! لإبقاء هذه النافذة مفتوحة، انقر بزر الماوس الأيمن فوق YSHIFT؟! لبناء هذا في كل ولاية (ولكن ليس التوسع)
factory_upgrade_shortcuts;?YSHIFT-نقر بزر الماوس الأيسر?W ترقية ?Gall؟!S مصانع في ولاية\n?YSHIFT-نقر بزر الماوس الأيمن?W ترقية ?Gall مربح?W مصانع في ولاية\n?YCTRL-نقر بزر الماوس الأيسر?W ترقية ? Gall?مصانع W في دولة\n?YCTRL-نقر بزر الماوس الأيمن?ترقية W ?مربحة للغاية?مصانع W في دولة\n?YCTRL-SHIFT-النقر بزر الماوس الأيسر?ترقية W ?مربحة للغاية مع التوظيف الكامل؟مصانع W في ولاية\n?YCTRL-SHIFT-النقر بزر الماوس الأيمن؟W الترقية؟مربحة للغاية مع التوظيف الكامل؟W المصانع في الولاية
blank_org_gain;مكاسب تنظيمية
