support_for_blank;support for $text$
uh_support_for_blank;upper house support for $text$
up_to;up to 
scaled_support; proportional to support of $text$
scaled_unemployment; proportional to unemployment
stockpile_of;to national stockpile of $text$
create_general;A new general is created
create_admiral;A new admiral is created
add_war_goal;A $text$ war goal is added against $nation$
blank_loyalty;$text$ loyalty
in_blank;in $text$
no_effect;No effect
move_capital_to;Move capital to
add_x_core;Add $adj$ core
add_core_to;Add core to
remove_x_core;Remove $adj$ core
remove_core_from;Remove core from
change_name_to;Change name to $text$
change_terrain_to;Change terrain to $text$
change_rgo_production_to;Change RGO production to $text$
make_accepted_culture;$text$ becomes an accepted culture
primary_culture_changes_to;Primary culture changes to $text$
union_culture_accepted;All cultures in the nation's primary culture group become accepted
remove_accepted_culture;$text$ stops being an accepted culture
increase_national_variable_by;Increase national variable $text$ by $value$
decrease_national_variable_by;Decrease national variable $text$ by $value$
life_rating;Life rating
make_national_religion;$text$ becomes the national religion
make_slave_state;Becomes a slave state
make_slave_pop;Becomes a slave
research_points;Research points
change_tech_school;Technology school changes to $text$
change_government_to;Government changes to $text$
add_to_treasury;Added to treasury
war_exhaustion;War exhaustion
become_blank;Becomes $text$
player_control_change;Player control changes to $text$
set_national_flag;$text$ is set for this nation
remove_national_flag;$text$ is unset for this nation
infamy;Infamy
change_province_owner;Change province owner to $text$
annex_effect;Annex $text$
annexed_by_effect;Is annexed by $text$
core_return;$adj$ cores are returned to $text$
core_return_short;$adj$ cores are returned
change_province_controller;change province controller to $text$
change_state_controller;change state controller to $text$
pop_savings;Pop savings
leadership_points;Leadership points
release_as_vassal;Release $text$ as a vassal
end_alliance;End alliance with $text$
end_war_with;End war with $text$
enable_ideology;Enable ideology ?Y$text$?!
enable_technology;Give technology ?Y$text$?!
enable_invention;Give invention ?Y$text$?!
change_ruling_party;Change ruling party to $text$
remove_prov_mod;Remove provincial modifier $text$
remove_nat_mod;Remove national modifier $text$
make_alliance;Enter into an alliance with $text$
becomes_independent;$text$ becomes an independent nation
release_as_independent;Release $text$ as an independent nation
set_global_flag;Set $text$ globally
remove_global_flag;Unset $text$ globally
change_national_value;Change national value to $text$
become_civ;Becomes a civilized nation
become_unciv;Becomes an uncivilized nation
free_slave_state;Becomes a free state
free_slave_pop;Is freed from slavery
hold_election;Hold election
issue_change;$issue$ changes to $text$
add_relative_income;Times last income added to treasury
make_neutral;All alliances ended and all vassals released
pop_size;Pop size
move_pop_to;Move pop to $text$
change_pop_type;Change pop type to $text$
years_of_research;Years of research
remove_mil_reforms;Remove $value$ military reforms
remove_econ_reforms;Remove $value$ economic reforms
add_crime;Add crime $text$
remove_crime;Remove active crime
perform_nationalization;Perform nationalization
build_factory_in_capital;Build $text$ in capital state
enable_great_wars;Great wars are enabled
enable_world_wars;World wars are enabled
disable_great_wars;Great wars are no longer possible
disable_world_wars;World wars are no longer possible
assimilate_pop;Change culture to $text$
assimilate_province;Change the culture of all pops to $text$
owner_primary_culture;its owner's primary culture
literacy;literacy
add_crisis_interest;Becomes interested in current crisis
crisis_temperature_plain;crisis temperature
militancy;militancy
consciousness;consciousness
rgo_size;RGO size
trigger_every_revolt;Trigger a revolt of every rebel faction
call_allies;Call allies into their current wars
truce_with;Truce with $text$ until ?Y$y$?!
diplomatic_influence_with;diplomatic influence with $text$
relations_with;relationship with $text$
add_modifier_until;Gets $text$ until $date$
add_modifier;Gets $text$
add_cb_months;Gets a $name$ casus belli against $text$ until $date$
add_cb_no_months;Gets a $name$ casus belli against $text$
add_cb_reversed_months;$text$ gets a $name$ casus belli against the nation in scope until $date$
add_cb_reversed_no_months;$text$ gets a $name$ casus belli against the nation in scope
remove_cb_reversed;Loses any $name$ casus bellis against $text$
remove_cb;$text$ loses any $name$ casus bellis against the nation in scope
set_national_variable_to;Set national variable $text$ to $value$
event_fires;Event $text$ is triggered
event_fires_in_days;Event $text$ is triggered in $value$ days
railroad_in_capital;?G+1?! railroad level in capital
railroad_in_capital_state;?G+1?! railroad level in capital state
fort_in_capital;?G+1?! fort level in capital
fort_in_capital_state;?G+1?! fort level in capital state
fort_in_capital;?G+1?! fort level in capital
fort_in_capital_state;?G+1?! fort level in capital state
university_in_capital;?G+1?! university level in capital
university_in_capital_state;?G+1?! university level in capital state
bank_in_capital;?G+1?! bank level in capital
bank_in_capital_state;?G+1?! bank level in capital state
railroad_level;Railroad level
fort_level;fort level
naval_base_level;naval base level
university_base_level;naval base level
bank_base_level;naval base level
apply;Apply
ok;OK
close;Close
delete;Delete
new;New
reset;Reset
every;Every
ready;Ready
any;Any
none;None
random;A random
neighboring_province;neighboring province
where;where: 
neighboring_nation;neighboring nation
nation;nation
continent;continent
same_continent;on the same continent as
empty_neighboring_province;Empty neighboring province
poor_strata_pop;poor strata pop
middle_strata_pop;middle strata pop
rich_strata_pop;rich strata pop
pop;Pop
owned_province;province belonging to
singular_nation;that nation
singular_state;that state
singular_province;that province
singular_pop;that pop
one_of_the_following;one of the following effects:
this_nation;this nation
this_state;this state
this_province;this province
this_pop;this pop
from_nation;from nation
from_state;from state
from_province;from province
from_pop;from pop
province_in;province in
this_nation_culture;The primary culture of this nation
from_nation_culture;The primary culture of the from nation
cultural_union_nation;The cultural union nation for its primary culture
core_of;core of
state_of;state of
chance_of;chance of:
owner_of;owner of
controller_of;controller of
location_of_pop;location of that pop
nation_of_pop;nation containing that pop
capital_of;capital of
containing_state;state containing
adjacent_sea;adjacent sea zone
cultural_union_of;cultural union of
overlord_of;overlord of
sphere_leader_of;sphere leader of
crisis_state;crisis state
reb_independence_nation;rebel independence nation
flashpoint_nation;flashpoint nation
rebel;Rebel
flashpoint_tension_label;Flashpoint tension
for_text; for $text$
where_ideology_is;Where its ideology is $text$
where_culture_is;Where its culture is $text$
where_religion_is;Where its religion is $text$
of_type;of type $text$
no_nation;no nation
declare_war_on;Declare war on $text$
attacker_wg_label;Attacker war goal: $text$
defender_wg_label;Defender war goal: $text$
attacker_no_allies;Attacker's allies will not be called in
attacker_yes_allies;Attacker's allies will be called in
war_start_date_desc;war started in ?Y$date$?!
cmp_ge;is at least
cmp_le;is at most
cmp_gt;is greater than
cmp_lt;is less than
cmp_eq;is
cmp_ne;is not
cmp_has_eq;has
cmp_has_ne;does not have
cmp_has_lt;has less than
cmp_has_gt;has more than
cmp_has_ge;has at least
cmp_has_le;has at most
all_of_the_following;All of the following:
any_of_the_following;Any of the following:
nation_at_war_against;nation at war against
core_in;core in
colonial_pop;located in a colonial province
substate_of;substate of
nation_in_sphere;nation in the sphere of
year;year
month;month
a_port;a port
national_rank;national rank
att_technology;technology
strata;strata
rich;rich
poor;poor
middle;middle
minimum_state_life_raing;minimum life rating in state
an_empy_adj_prov;an empty adjacent province
belongs_to_same_state;belongs to the same state as $text$
does_not_belong_to_same_state;does not belong to the same state as $text$
contains_blank;contains $text$
does_not_contain_blank;does not contain $text$
times_target_needs_spending;times desired needs spending
unemployment;unemployment
slavery;slavery
allowed;allowed
a_slave_state;a slave state
a_slave;a slave
an_independent_nation;an independent nation
non_prim_culture_pops;non primary-culture pops
government;government
capital;capital
technology_school;technology school
primary_culture;primary culture
primary_culture_pop;the primary culture of the nation the pop is in
an_accepted_culture;an accepted culture
culture;Culture
dominant_culture;dominant culture
a_primary_or_accepted;a primary or accepted culture
rebel_culture;rebel culture
this_nation_prim_culture;the primary culture or an accepted culture of this nation
from_nation_prim_culture;the primary culture or an accepted culture of the from nation
culture_group;culture group
dominant_culture_group;dominant culture group
primary_culture_group;primary culture group
a_core_ob;a core owned by
rebel_culture_group;rebel cultural group
this_nation_culture_group;the same as the culture group of this nation 
from_nation_culture_group;the same as the culture group of the from nation
rebel_religion;the rebel religion
this_nation_religion;the national religion of this nation
from_nation_religion;the national religion of the from nation
province_terrain;province terrain
rgo_production;RGO production
a_secondary_power;a colonial power
owner;owner
an_active_rebel;an active rebel faction
a_member_of;a member of
unclaimed_cores;unclaimed cores
a_cultural_union;a cultural union
union_for_pop;the cultural union for the pop
union_for_nation;the cultural union for the nation
the_rebel_ind_nation;the rebel independence nation
capitalists_can_build;capitalists are allowed to build factories
capitalists_cannot_build;capitalists are not allowed to build factories
at_war;at war
total_blockade;total blockade
owns;owns
does_not_own;does not own
controls;controls
does_not_control;does not control
a_core_in;a core in
a_core_of;a core of
a_core_of_owner;a core of its owner
located_in_a_core_of;located in a core of
percentage_reb_control;percentage of rebel controlled provinces
num_of_reb_control;number of rebel controlled provinces
num_owned_provinces;number of owned provinces
num_provinces_owned_by;the number of provinces owned by
num_of_ports;number of ports
num_of_allies;number of allies
num_of_vassals;number of vassals
owned_by;owned by
exists;exists
does_not_exist;does not exist
att_set;set
in;in
located_in;located in
the_owner_of_region;the owner of every province in
a_casus_belli_against;a casus belli against
military_access_with;military access with
prestige_of;the prestige of
prestige;Prestige
a_railroad;a railroad
a_fort;a fort
a_naval_base;a naval base
a_factory;a factory
empty;unowned
blockaded;blockaded
national_modifier;national modifier
provincial_modifier;provincial modifier
part_of;part of
a_border_with;a border with
units_in_province;units in province
units_in_the_province;units in the province
units_in_the_state;units in the state
at_war_against;at war against
num_of_divisions;a number of divisions
an_ongoing_battle;an ongoing battle
treasury;treasury
o_treasury;owner's treasury
o_of_prov;the owner of the province
percentage_unowned_cores;percentage of unowned cores
a_vassal;a vassal
ruling_party_ideology;ruling party ideology
ruling_party;ruling party
enabled;enabled
political_reform_desire;political reform desire
social_reform_desire;social reform desire
num_of_ships;number of ships
crime_percent;percentage of provinces with crime
national_religion;the national_religion
member_of_nat_religion;a member of the national religion
dominant_religion;the dominant religion
same_rel_as_this;the same religion as this nation
this_pop_culture;the culture of this pop
this_nation_primary_culture;the primary culture of this nation
this_nation_accepted_culture;an accepted culture of this nation
coastal;coastal
in_sphere_of;in the sphere of
a_producer_of;a producer of
next_reform;next reform
always;always
never;never
percentage_recruited;percentage of recruited pops
in_cultural_core_prov;in a province with a core of the same culture
nationalism;nationalism
overseas;overseas
overseas_pop;located in an overseas province
controlled_by_rebel;controlled by rebels
controlled_by;controlled by
state_capital;the state capital
loc_state_capital;located in the state capital
a_truce_with;a truce with
att_population;population
size;size
pops_of_type;pops of type
of_type_plain;of type
ai_controlled;AI controlled
a_leader_named;a leader named
a_possible_vassal;a possible vassal
a_vassal_of;a vassal of
a_substate_of;a substate of
allied_to;allied to
has_recently_lost_war;has recently lost a war
has_not_recently_lost_war;has not recently lost a war
mobilized;mobilized
mobilization_size;mobilization size
admin_spending;administration spending
greater_than_edu_spending;greater than education spending
support_for_rp;support for ruling party
colonial;colonial
in_default_to;in default to
in_bnkrpt;bankrupt
num_of_ports_connected;number of ports connected to capital
holding_an_election;holding an election
set_globally;set globally
national_value;national value
industrial_score;industrial score
industrial_score_of;the industrial score of
military_score;military score
military_score_of;the military score of
civilized;civilized
percent_occupied;percentage of occupied provinces
rich_tax;rich tax
middle_tax;middle tax
poor_tax;poor tax
soc_spending;social spending
edu_spending;education spending
mil_spending;military spending
colonies;colonies
dominant_ideology;dominant ideology
dominant_issue;dominant issue
poor_militancy;poor strata militancy
middle_militancy;middle strata militancy
rich_militancy;rich strata militancy
gt_poor_tax;greater than poor tax
cultural_union;cultural union
same_cultural_union;the same as the cultural union of
non_accepted_pops;non accepted pops
crime;crime
num_substates;number of substates
num_vassals_no_substates;number of non-substate vassals
num_regiments;number of regiments
owner_num_regiments;owner's number of regiments
num_regiments_of;the number of regiments belonging to
times_num_regiments_of;$x$ times the number of regiments belonging to
fabricating_on;fabricating a casus belli on
cb_discovered;casus belli fabrication has been discovered
cb_not_discovered;casus belli fabrication has not been discovered
cb_progress;casus belli fabrication progress
civ_progress;civilization progress
constructing_a;fabricating a
casus_belli;casus belli
nation_in_scope;the nation in scope
a_substate;a substate
gw_enabled;great wars are enabled
gw_not_enabled;great wars are not enabled
ww_enabled;world wars are enabled
ww_not_enabled;world wars are not enabled
can_perform_nationalization;can nationalize
cannot_perform_nationalization;can't nationalize
in_sphere;in a sphere of influence
num_states;number of states
a_releasable_vassal;a releasable vassal
recent_immigration;recent immigration
num_control_days;number of days under current control
disarmed;disarmed
social_mov_support;social movement support
political_mov_support;political movement support
a_member_of_social_mov;a member of a social movement
a_member_of_political_mov;a member of a political movement
cultural_sphere_members;sphere members in the same cultural group
pops;pops
this_pop_religion;the religion of this pop
pops_with;pops with
life_needs_satisfaction;life-needs satisfaction
everyday_needs_satisfaction;everyday-needs satisfaction
luxury_needs_satisfaction;luxury-needs satisfaction
present_in_state;present in state
flashpoint;Flashpoint
plurality_pop;the plurality of the nation the pop is in
an_ongoing_crisis;an ongoing crisis
there;There
current_crisis;current crisis
liberation_crisis;a liberation crisis
claim_crisis;a claim crisis
involved_in_crisis;involved in crisis
poor_life_needs_satisfaction;poor-strata life-needs satisfaction
poor_everyday_needs_satisfaction;poor-strata everyday-needs satisfaction
poor_luxury_needs_satisfaction;poor-strata luxury-needs satisfaction
middle_life_needs_satisfaction;middle-strata life-needs satisfaction
middle_everyday_needs_satisfaction;middle-strata everyday-needs satisfaction
middle_luxury_needs_satisfaction;middle-strata luxury-needs satisfaction
rich_life_needs_satisfaction;rich-strata life-needs satisfaction
rich_everyday_needs_satisfaction;rich-strata everyday-needs satisfaction
rich_luxury_needs_satisfaction;rich-strata luxury-needs satisfaction
dip_influence_over;diplomatic influence over
relationship_with;relationship with
this_pop_type;this pop type
nat_variable;national variable
support_in_uh;support in upper house
support_in;loyalty in
scope_province;province in scope
able_build_rr;able to build a railroad in this province
able_build_fort;able to build a fort in this province
able_build_naval_base;able to build a naval base in this province
work;work
available_for;available for:
support;support
percentage;percentage
stockpile;stockpile
this_nat_religion;the national religion of this country
from_nat_religion;the national religion of the from country
event_show_requirements;Requirements for the event
event_only_other_requirements;This event is only triggered by other events
event_show_odds;Odds of the event
value_mod_product;Value $val$ is the product of:
value_mod_sum;Value $val$ is the sum of:
value_mod_sum_factor;Value $val$ is $x$ times the sum of:
admin_explain_1;Administrative efficiency modifier of $val$
admin_explain_2;Applied to the ratio of non-colonial bureaucrats: $val$
admin_explain_3;To the required percentage: $val$ (base $x$ + $y$ from reforms)
factory_condition_1;The nation is civilized
factory_condition_2;This is not a colonial state
factory_condition_3;The ruling party allows building factories
factory_condition_4;There are fewer than $val$ factories in the state
cant_subsidize_explanation;The ruling party does not allow us to subsidize factories
percent_of_pop_strata;$val$ of the population of their strata
cant_prioritize_explanation;The ruling party does not allow us to change factory priority
factory_upgrade_condition_1;The nation is civilized
factory_upgrade_condition_2;This is not a colonial state
factory_upgrade_condition_3;The technology requirements to construct the factory are met
factory_upgrade_condition_4;Your nation is a great power while the target nation is not
factory_upgrade_condition_5;The investment target is civilized
factory_upgrade_condition_6;The ruling party of the investment target allows foreign investment
factory_upgrade_condition_7;The investment target is not at war with you
factory_upgrade_condition_8;The ruling party allows upgrading factories
factory_upgrade_condition_9;The factory is not already being upgraded
factory_upgrade_condition_10;The factory is not at max level
factory_delete_header;Delete factory
factory_delete_not_allowed;The ruling party does not allow us to delete factories
factory_stats_1;This factory is currently operating at $val$ capacity
factory_stats_2;This factory is targeting $val$ capacity
factory_stats_3;It produced $val$ units of $x$ in the previous day
factory_stats_4;It made a profit of $val$ in the previous day
factory_stats_5;Inputs availability:
factory_stats_6;Efficiency inputs availability:
factory_stats_wage;Wage:
factory_stats_expenses;Total expenses
factory_stats_desired_income;Desired raw profit
speed;$val$ kph
shift_to_hold_open;Hold ?YSHIFT?! to keep this window open, ?YSHIFT-Right-click?! to build this in every state (but not expand)
factory_upgrade_shortcuts;?YSHIFT-Left-click?W upgrade ?Gall?!S factories in a state\n?YSHIFT-Right-click?W upgrade ?Gall profitable?W factories in a state\n?YCTRL-Left-click?W upgrade ?Gall?W factories in a nation\n?YCTRL-Right-click?W upgrade ?Gall profitable?W factories in a nation\n?YCTRL-SHIFT-Left-click?W upgrade ?Gall profitable with full employment?W factories in a state\n?YCTRL-SHIFT-Right-click?W upgrade ?Gall profitable with full employment?W factories in a state
blank_org_gain;organization gain
plurality_change_reason;(based on the average consciousness)
revanchism_reason;Based on the number of unowned cores (cores with your primary culture count for more)
allow_reform_cond;Requirements:
reform_effect_if_desc;When activated, if
reform_effect_then_desc;Then:
reform_effect_desc;When activated:
special_rules;Special rules:
voting_rules;Voting rules:
hide_decision;Hide the notification for this decision
sup_point_gain;Monthly suppression point increase: ?G+$val$
sup_point_explain;From: base rate $x$ x $y$ from bureaucrats x $val$ from our modifier to suppression point gain
pop_size_1;In the coming month the size of this pop is expected to change by: 
pop_size_2;From growth: 
pop_size_3;From promotion and demotion: 
pop_size_4;From assimilation: 
pop_size_5;From internal migration: 
pop_size_6;From colonial migration: 
pop_size_7;From emigration: 
pop_size_8;From conversion: 
pop_l_migration_header;?YMigration away: $val$
pop_l_c_migration_header;?YColonial migration away: $val$
pop_l_emigration_header;?YEmigration away: $val$
pop_mig_1;There is no internal migration from colonial provinces
pop_mig_2;Slaves do not migrate internally
pop_mig_3;The number of people that will migrate internally is equal to the size of the pop times the immigration scale ($x$) times the province's immigrant-push modifier ($y$) times the migration factor ($val$)
pop_mig_4;?YMigration factor:
pop_cmig_1;The nation does not have any colonies
pop_cmig_2;There is no colonial migration from colonial provinces
pop_cmig_3;Slaves do not migrate colonially
pop_cmig_4;Rich-strata pops do not migrate colonially
pop_cmig_5;Factory workers do not migrate colonially
pop_cmig_6;The number of people that will migrate colonially is equal to the size of the pop times the immigration scale ($x$) times the province's immigrant-push modifier ($y$) times the province's colonial-migration modifier ($num$) times the colonial migration factor ($val$)
pop_cmig_7;?YColonial migration factor:
pop_emg_1;Pops can only emigrate from civilized nations
pop_emg_2;There is no emigration from colonial provinces
pop_emg_3;Slaves do not emigrate
pop_emg_4;Pops without an ?Yoverseas?! culture do not emigrate
pop_emg_5;The number of people that will emigrate is equal to the size of the pop times the immigration scale ($x$) times the province's immigrant-push modifier ($y$, squared if it's greater than 100%) times the emigration factor ($val$)
pop_emg_6;?YEmigration factor:
pop_prom_1;?YPromotion factor:
pop_prom_2;From national focus: ?G$val$
pop_prom_3;0 (because of national focus)
pop_prom_4;?YDemotion factor:
pop_prom_5;The pop is currently promoting because the promotion factor is greater than the demotion factor
pop_prom_6;The pop is currently demoting because the demotion factor is greater than the promotion factor
pop_prom_7;As both factors are negative, the pop is currently neither promoting nor demoting
pop_prom_8;The number of people that will promote is equal to the size of the pop times the promotion scale ($x$) times the promotion factor ($val$) times your administrative efficiency ($y$)
pop_prom_9;The number of people that will demote is equal to the size of the pop times the promotion scale ($x$) times the demotion factor ($val$)
pop_con_1;Monthly consciousness change: 
pop_con_2;Is the sum of:
pop_con_3;From luxury needs satisfaction: ?G+$x$
pop_con_4;From the local clergymen percentage ($val$): ?R$x$
pop_con_5;The plurality and literacy factor: ?G+$x$?!, which is the product of:
pop_con_6;Plurality: $x$
pop_con_7;The national modifier to literacy-on-consciousness impact: $x$
pop_con_8;The literacy impact factor: $x$
pop_con_9;The pop's literacy: $x$
pop_con_10;The colonial consciousness factor: $x$
pop_con_11;and 0.1
pop_con_12;Local pop consciousness modifier: 
pop_con_13;National pop consciousness modifier: 
pop_con_14;National non-colonial pop consciousness modifier: 
pop_con_15;National non-accepted pop consciousness modifier: 
pop_mil_1;Monthly militancy change: 
pop_mil_2;Is the sum of:
pop_mil_3;From life-needs satisfaction: ?R+$x$
pop_mil_4;From everyday-needs satisfaction: 
pop_mil_5;From luxury-needs satisfaction: ?G$x$
pop_mil_6;From conservatism support: ?G$x$
pop_mil_7;From ruling party support: ?G$x$
pop_mil_8;From reform desire: ?R+$x$
pop_mil_9;Local pop militancy modifier: 
pop_mil_10;National pop militancy modifier: 
pop_mil_11;National non-colonial pop militancy modifier: 
pop_mil_12;From separatism: ?R+$val$?! (?R+$x$?! times national separatism modifier ?R$y$)
pop_mil_13;From war exhaustion ?R+$val$?!
pop_lit_1;Monthly literacy change: 
pop_lit_2;Is the product of:
pop_lit_3;From the local clergymen percentage ($val$): $x$
pop_lit_4;Effective education spending: $x$
pop_lit_5;The national education-efficiency modifier: $x$
pop_lit_6;The modifier to the national education-efficiency modifier: $x$
pop_lit_7;The base literacy change rate: $x$
pop_lit_8;And 0.01
pop_growth_topbar;It's expected to grow by ?G$x$?W within the next month.
pop_growth_topbar_2;population changed by ?G$x$?W in the last ?Y30?W days.
pop_growth_topbar_3;Our Adult male population is ?Y$curr$?W. Our adult male
pop_growth_topbar_4;Our total population is ?Y$val$?W.
pop_growth_1;Monthly pop growth: 
pop_growth_2;Slaves do not grow
pop_growth_3;Pop growth is proportional to the size of the pop times the sum of:
pop_growth_4;The quality-of-life factor $x$, which is the product of:
pop_growth_5;The province factor $x$, which is itself the sum of:
pop_growth_6;The life rating of the province $x$ minus the minimum life rating $y$, all times $val$
pop_growth_7;And the base pop growth value $x$
pop_growth_8;The pop's life needs factor $x$ (life needs satisfaction $y$ - the starvation limit $val$)
pop_growth_9;And 4
pop_growth_10;The local population-growth modifier $x$
pop_growth_11;The national population-growth modifier $x$
pop_assim_1;Monthly pop assimilation: $x$
pop_assim_2;Slaves do not assimilate
pop_assim_3;Pops of an accepted culture do not assimilate
pop_assim_4;Pops in colonial provinces do not assimilate
pop_assim_5;Pops in overseas provinces do not assimilate
pop_assim_6;Assimilation is proportional to the size of the pop times the product of:
pop_assim_7;The base assimilation scale: $x$
pop_assim_8;The national assimilation-rate modifier: $x$
pop_assim_9;The local assimilation-rate modifier: $x$
pop_assim_10;0.1 for not having an overseas culture
pop_assim_11;$x$ from cores present in the province
pop_assim_12;Variable assimilation factors: $x$
pop_conver_1;Monthly pop conversion: $x$
pop_conver_2;Pops of the state religion do not convert
pop_conver_3;Pops do not convert unless there are pops of the state religion in the same province
pop_conver_4;Conversion is proportional to the size of the pop times the product of:
pop_conver_5;The base conversion scale: $x$
pop_conver_6;The national conversion-rate modifier: $x$
pop_conver_7;The local conversion-rate modifier: $x$
pop_conver_8;Variable conversion factors: $x$
pop_issue_attraction_1;Issue attraction: $x$
pop_issue_attraction_2;This reform is not currently possible
pop_issue_attraction_3;Issue attraction is the product of:
pop_issue_attraction_4;The national modifier to social reform desire: $x$
pop_issue_attraction_5;The national modifier to political reform desire: $x$
pop_issue_attraction_6;And the issue attraction factor: $x$
pop_ideology_attraction_1;Ideology attraction: $x$
pop_ideology_attraction_2;This ideology is not currently available
trade_setting_drawing;Drawing on stockpiles
trade_setting_filling;Filling stockpiles
trade_setting_stable;No stockpile activity
trade_commodity_report_1;Current global demand: $x$
trade_commodity_report_2;Current global production: $x$
trade_commodity_report_3;Current global consumption: $x$
trade_commodity_report_4;Amount on world market: $x$
trade_fill;Fill
trade_use;Draw upon
trade_stockpile_target;Stockpile target amount:
trade_stockpile_current;Current stockpile: 
diplomacy_wx_1;Monthly war exhaustion: 
influence_explain_1;We are currently banned and accumulate no influence with this nation
influence_explain_2;We have a truce with this nation and accumulate no influence with it
influence_explain_3;We are at war with this nation and accumulate no influence with it
influence_explain_4;We accumulate, with all nations, a total of $x$ influence daily.
influence_explain_5;This is the product of the base influence gain rate ($x$) times our national influence modifier ($y$) times our influence modifier from technology ($val$)
influence_explain_6;National influence modifier: $x$
influence_explain_7;Influence modifier from technology: $x$
influence_explain_8;This is divided among the nations we are influencing, resulting in a base daily gain of: $x$
influence_explain_9;which is further multiplied by 1 plus the sum of the following factors:
influence_explain_10;$x$ from being discredited
influence_explain_11;$x$ from being neighbors
influence_explain_12;$x$ from having one or more of our sphere members as a neighbor
influence_explain_13;$x$ from not having its capital on the same continent as ours
influence_explain_14;$x$ from being our subject
influence_explain_15;$x$ from our relationship
influence_explain_16;$x$ from our investment in the nation
influence_explain_17;$x$ from the size of the target nation
influence_explain_18;$x$ from our relative score
until_date;Until $x$
add_wg_1;You can't add a war goal against yourself
add_wg_2;You are at war
add_wg_3;You have at least $x$ diplomatic point(s)
add_wg_4;Current jingoism support ($x$) meets the threshold required to add a war goal ($y$)
add_wg_5;A status quo war goal has not been added to your side
intervene_1;Intervene in war
intervene_2;Intervene in great war
intervene_3;Is a great power
intervene_4;Isn't involved in a crisis
intervene_5;It has been at least $x$ month(s) since the war started
intervene_6;Joining the war would not place you at war against the same nation twice or both fighting with and against the same nation
intervene_7;Isn't a crisis war
intervene_8;Joining would break a truce
intervene_9;Is supporting the defender
intervene_10;Defenders have no war goals other than status quo
intervene_11;Attacker's war score is at least $x$
intervene_12;War exhaustion is less than $x$
intervene_13;Relations with the war leader are at least $x$
intervene_14;None of your sphere members are on the opposing side
intervene_15;None of your allies are on the opposing side
intervene_16;None of your armies are located in provinces owned by the opposing side
intervene_17;Primary defender has a friendly opinion of you
