support_for_blank;support for $text$
military_score_explain_1;Capital ship score: $x$
military_score_explain_2;Recruitable regiments: $x$
military_score_explain_3;Active regiments: $x$
military_score_explain_4;Is disarmed? (penalty factor of $x$)
military_score_explain_5;Supply consumption modifier: $x$
military_score_explain_6;Average land unit score: $x$
military_score_explain_7;Total number of leaders: $x$
industry_score_explain_2;The following foreign investments also add up (weight factor $x$):
industry_score_explain_3;$y$ in $x$
war_goal_1;Added by: $x$
war_goal_2;Targeting: $x$
war_goal_3;For state: $x$
war_goal_4;Secondary nation: $x$
war_goal_5;Ticking war score: $x$
war_goal_6;If we occupy ?Y$x$?! of the the provinces, we will gain ?Y$y$?! ticking war score (relative to the fraction of occupied provinces)
war_goal_7;We have a grace period of ?Y$x$?! days to occupy, otherwise we will lose ?Y$y$?! ticking war score daily
war_goal_8;War started in ?Y$x$?!, we should fullfill by ?Y$y$?!, before the grace period ?Rruns out?!
war_goal_9;The grace period ?Rhas ran out?! (period was from ?Y$x$?! to ?Y$y$?!)
war_goal_10;Secondary tag: $x$
utt_unit;($country$) - $unit$ ($leader$)\n ($infantry$ / $cavalry$ / $special$)
utt_noleader;no leader
war_score_1;From occupation: $x$
war_score_2;From battles: $x$
war_score_3;From war goals: $x$
war_score_4;From blockades: $x$
dp_inf_tooltip_ban;Embassy banned until $x$
dp_inf_tooltip_discredit;Discredited until $x$
discredit_explain_1;You can't discredit yourself
discredit_explain_2;The target's opinion of you is better than hostile
discredit_explain_3;The great power is not banned
iaction_explain_1;You have at least $x$ influence with the target
iaction_explain_2;Your embassy is not banned
iaction_explain_3;You are not at war with the target
iaction_explain_4;The target's opinion of the great power is at most equal to their opinion of you
expel_explain_1;You can't expel your own advisors
expel_explain_2;The target's opinion of you is at least neutral
ban_explain_1;You can't ban your own embassy
ban_explain_2;The target's opinion of you is at least friendly
dec_op_explain_1;You can't decrease a nation's opinion of you
dec_op_explain_2;You can't decrease a nation's opinion of their sphere leader
dec_op_explain_3;The target's opinion of you is better than hostile
dec_op_explain_4;The target's opinion of a great power can't be made worse than hostile
iaction_explain_5;You're a great power
iaction_explain_6;The target is not a great power
state_transfer_di;State transfer
state_transfer_button;State transfer
state_transfer_offer;$actor$ is offering to give us the states of:
state_transfer_desc;Transfers the ownership of one state to another nation, useful for negotiations beyond the game's scope
state_transfer_explain_1;The target nation is a player
state_transfer_explain_2;There isn't any crisis currently
state_transfer_explain_3;We're not subjects
state_transfer_explain_4;They're not subjects
state_transfer_explain_5;We're at peace
state_transfer_explain_6;We have more than 1 state
cancel_ally_explain_1;You can't cancel an alliance with yourself
cancel_ally_explain_2;You have at least $x$ diplomatic point(s)
cancel_ally_explain_3;You're currently allied
cancel_ally_explain_4;You're not currently in a war together
cancel_ally_explain_5;You're not a vassal of the target nation
ally_explain_1;You can't form an alliance with yourself
ally_explain_2;You have at least $x$ diplomatic point(s)
ally_explain_3;You're not currently allied
ally_explain_4;You're not both great powers while a crisis is ongoing
ally_explain_5;You're not a subject nation
ally_explain_6;You're not currently at war with the target
ally_explain_7;The AI will accept
ally_explain_8;The target isn't a subject nation
call_ally_explain_1;You have an alliance with this nation
call_ally_explain_2;You have at least $x$ diplomatic point(s)
call_ally_explain_3;You're at war
call_ally_explain_4;There is a war this nation can be called into
call_ally_explain_5;The AI will accept
cancel_access_explain_1;You have at least $x$ diplomatic point(s)
ask_access_explain_1;You can't get military access from yourself
ask_access_explain_2;You have at least $x$ diplomatic point(s)
ask_access_explain_3;The AI will accept
ask_access_explain_4;You are not currently at war with the target
cancel_given_access_explain_1;You have at least $x$ diplomatic point(s)
give_access_explain_1;You can't give military access to yourself
give_access_explain_2;You have at least $x$ diplomatic point(s)
give_access_explain_3;You are not currently at war with the target
increase_rel_explain_1;Improves our relations by ?G+$x$
increase_rel_explain_2;You can't increase your relationship with yourself
increase_rel_explain_3;You have at least $x$ diplomatic point(s)
increase_rel_explain_4;Current relations are less than 200
increase_rel_explain_5;You are not currently at war with the target
decrease_rel_explain_1;Worsens our relations by ?R$x$
decrease_rel_explain_2;You can't decrease your relationship with yourself
decrease_rel_explain_3;You have at least $x$ diplomatic point(s)
decrease_rel_explain_4;Current relations are greater than -200
decrease_rel_explain_5;You are not currently at war with the target
cancel_w_sub_explain_1;Currently we are subsidizing this nation ?Y$x$?! per day
cancel_w_sub_explain_2;You have at least $x$ diplomatic point(s)
w_sub_explain_1;You can't offer war subsidies to yourself
w_sub_explain_2;You have at least $x$ diplomatic point(s)
w_sub_explain_3;You are not currently at war with the target
w_sub_explain_4;The target is at war
invention_bulb_1;This invention can't currently be discovered
invention_bulb_2;It is possible to discover this invention
invention_bulb_3;This invention has been discovered
not_implemented;This feature is not currently implemented
inc_op_explain_1;The nation's opinion of you is less than friendly
add_sphere_explain_1;The nation has a friendly opinion of you
add_sphere_explain_2;The nation is not currently sphered by another great power
rem_sphere_explain_1;The nation is currently sphered by a great power
rem_sphere_explain_2;The nation has a friendly opinion of you
rem_sphere_explain_3;The nation is in your sphere of influence
rem_sphere_explain_4;Removing a nation from your own sphere of influence will increase your infamy by ?R$x$
rem_sphere_explain_5;Removing a nation from your own sphere of influence will reduce your prestige by ?R$x$
fab_explain_1;You can't justify war against yourself
fab_explain_2;You have at least $x$ diplomatic point(s)
fab_explain_3;You are not currently fabricating a casus belli
fab_explain_4;You are an independent nation or the target is your overlord
fab_explain_5;The target is not in your sphere of influence
fab_explain_6;You are not currently at war with the target
fab_explain_7;You can fabricate a casus belli
peace_description;Make a peace offer to end hostilities between you and this nation
peace_explain_1;Is not a subject nation
peace_explain_2;The target is not a subject nation
peace_explain_3;At least one of the negotiating parties is the war leader for their side
peace_explain_4;Both the parties are war leaders (crisis war)
peace_explain_5;You have no other peace offer in progress
war_explain_1;You can't declare war upon yourself
war_explain_2;You have a casus belli to use against this nation
war_explain_3;You have at least $x$ diplomatic point(s)
war_explain_4;You are not already in a war with this nation
wg_result_1;On adding this war goal:
wg_result_2;On achieving this war goal:
wg_result_3;On failing to achieve this war goal:
wg_not_ready;You must finish choosing a war goal
crisis_temperature_ex;The current crisis temperature is ?R$value$?W! Reaching ?R100?W will trigger a crisis war between the two sides
crisis_mode_no_crisis;There is no crisis
crisis_mode_finding_attacker;Finding a backer for the attacker side
crisis_mode_finding_defender;Finding a backer for the defender side
crisis_mode_heating_up;Crisis heating up
crisis_back_explain_1;You are interested in the crisis (on the fence)
crisis_back_explain_2;The crisis has attracted its initial backers
crisis_add_interest_button;Take an interest in this crisis
crisis_add_interest_button_ex_1;You are a great power
crisis_add_interest_button_ex_2;The crisis has attracted its initial backers
crisis_add_interest_button_ex_3;You have at least 1 diplomatic point
crisis_offer_button;Make an offer to this nation to join your side of the crisis
crisis_offer_button_ex_1;You are the leader of one of the crisis sides
crisis_offer_button_ex_2;The crisis has attracted its initial backers
crisis_offer_button_ex_3;You have at least 1 diplomatic point
multiunit_header;$x$ Units Selected
ai_alliance_1;The AI is currently seeking allies
ai_alliance_2;Your nation is close enough to assist in a war
ai_alliance_3;No conflicting ambitions
ai_alliance_4;Your nation's military is sufficiently strong
ai_alliance_5;Has shared mutual strategic interests
ai_access_1;The AI sees one of your wars as advantageous to them
col_start_title;Begin colonizing this state
col_start_1;No colonizers are present or colonization is still in the initial stage
col_start_2;Your nation is at least rank $x$
col_start_3;The state is not the target of a colonial crisis
col_start_4;You are not participating in a crisis war
col_start_5;The minimum life rating you can colonize ($x$) is less than or equal to the life rating of the state ($y$)
col_start_6;Base ?Y$x$
col_start_7;There are at most three other colonizers present
col_start_8;You are adjacent to the state or it is within naval range
col_start_9;You have at least $x$ free colonial points
col_invest_title;Invest in your colony
col_invest_1;Your nation is at least rank $x$
col_invest_2;The state is not the target of a colonial crisis
col_invest_3;You are not participating in a crisis war
col_invest_4;Without competition, you will be able to turn this state into a colony on $x$
col_invest_5;It has been $x$ days since your last investment (next investment possible on $y$)
col_invest_6;You have at least $x$ free colonial points
activated_by_with_a_chance_of;Activated by ?Y$x$?!, with a chance of:
unit_max_speed;Max Speed ?G$x$?! KPH
unit_attack;Attack ?G$x$
unit_hull;Hull ?G$x$
unit_fire_range;Firing Range ?G$x$
unit_supply_consumption;Supply Consumption ?R$x$
unit_supply_load;Supplies Weight ?R$x$
unit_defence;Defence ?G$x$
unit_discipline;Discipline ?G$x$
unit_maneuver;Maneuver ?G$x$
unit_recon;Reconaissance ?G$x$
unit_support;Support ?G$x$
unit_evasion;Evasion ?G$x$
unit_siege;Siege ?G$x$
unit_torpedo_attack;Torpedo Attack ?G$x$
unit_build_time;$x$ days
unit_build_unit_pop_size;$x$k
unit_build_unit_brigades;$x$/$y$
uv_sort_a;Att
uv_sort_b;Def
uv_sort_c;Org
uv_sort_d;Mor
uv_sort_e;Spd
uv_sort_f;Rec
uv_sort_g;Rel
uv_sort_h;Exp
alice_condition_diplo_points;Has atleast $x$ diplomatic points
alice_retreat;Retreat from battle
alice_retreat_1;It has been at least $x$ days since the battle started
alice_retreat_2;You are the lead attacker or defender
alice_province_select;Selects province
alice_province_deselect;Deselects province
alice_province_selector_on;ON
alice_province_selector_off;OFF
province_selector;Selector
province_immigrator;Immigrator
tt_a_bank;a bank
tt_a_university;a university
et_add_selector;enable province selector
et_remove_selector;disable province selector
et_add_immigrator;enable province immigrator
et_remove_immigrator;disable province immigrator
et_if;If
et_else_if;Else
modifier_province_selector;Province selector
modifier_province_immigrator;Province immigrator
modifier_conversion_rate;Conversion Rate
modifier_attrition;Attrition
chat_player_joins;@$x$ $playername$ joined
chat_player_leaves;@$x$ $playername$ left
chat_player_ban;@$x$ $playername$ was banned
chat_player_kick;@$x$ $playername$ was kicked
chat_player_switch;@$x$ $playername$ has choosen $country$
chat_player_oos;@$x$ $playername$ has OOSed!
alice_status_stream;Save progress $value$
alice_play_pending_client;$playername$ is not ready yet
alice_stockpile_button_0_0;National stockpiles function as a condiment to your usual economic-business activities, where people see ?Ggreen?W lines go up, and ?Rred?W lines go down, as per usual I'm ?Ynot?W a line graph so I mostly go unnoticed :)
alice_stockpile_button_1_0;If you click me 10 times you will receive nothing in return, just trust me, don't click me... ?ROR ELSE?W
alice_stockpile_button_1_1;I see, well now I'm not gonna say anything because I know you will keep clicking until I say a ?Ydifferent?W dialogue and that's just boring
alice_stockpile_button_1_2;Alright I can't make you stop, perhaps this will?
alice_stockpile_button_2_0;I'm a souless button, move on
alice_stockpile_button_3_0;Playing with friends aren't we? ?RWELL GOOD LUCK YOU WILL NEED IT?W
a_alert_reb;One or more of our sphere members has active rebels:
event_auto;Automatically choose this option for the remainder of the session.
event_taken_auto;This option will automatically be taken on ?Y$date$?W.
alice_load_unload_1;A navy docked here has sufficient capacity
alice_load_unload_2;The army is being transported
alice_load_unload_3;The transporting fleet is docked
alice_load_unload_4;One or more armies is being transported
alice_load_unload_5;The fleet is docked
alice_unload_fleet;Unload all armies transported by the fleet
auto_save_lb;Auto-save frequency
auto_save_1;Daily
auto_save_2;Monthly
auto_save_3;Yearly
auto_save_0;None
monthly_emigration_lab;Monthly emigration to (top 10)
monthly_immigration_lab;Monthly immigration from (top 10)
im_em_header;Predicted immigration/emigration for 
alice_unit_relative_attrition;$m$ $n$/$x$/$y$ = ?R$val$?W attrition
ol_unit_standing_text;$m$ $n$/$x$/$y$
unit_moving_text;$m$ $n$/$x$/$y$ -> $prov$ ($date$) - ?R$cost$?W ($attunit$/$defunit$)
unit_standing_text;$m$ $n$/$x$/$y$ - ?R$cost$?W ($attunit$/$defunit$)
disarmed_pop;a member of a disarmed nation
cancel_fac_construction;Cancel factory construction
cancel_fac_upgrade;Cancel factory upgrade
kierkegaard_1;Either
kierkegaard_2;Or
open_and_sub;Subsidize & Reopen Factory
o_set_national_flag;Set national flag $text$ for the owner
o_add_modifier_until;Owner of the province gets $text$ until $date$
o_add_modifier;Owner of the province gets $text$
o_relations_with;Owner of the province's relation with $text$
o_add_to_treasury; for the owner of the province
w_rgo_prod;Global RGO production: $x$
w_artisan_prod;Global artisan production: $x$
w_artisan_profit;National artisan profit: $x$
w_artisan_distribution;National artisan distribution: $x$
w_fac_prod;Global factory production: $x$
alice_lose_gp;We are losing ?YGreat Power?! status!
alice_state_select_title;Select state
press_esc_to_cancel;Press ?YESC?! to cancel
fort_build_tt_1;The province is under your control
fort_build_tt_2;The province is not under siege
fort_build_tt_3;The current level, $x$, plus the province's difficulty level, $n$, is less than your current max level, $y$
nb_build_tt_1;The province is coastal
nb_build_tt_2;No other naval base has been built or is under construction in the state
rr_build_tt_1;Our ruling party allows the government to construct rail roads
tech_ol_tt;?G$x$?! from your overlord having this technology
tech_year_tt;?G$x$?! from the current year
disband_all;Disband all selected units
alice_play_checksum_host;Checksum mismatch with host, ensure you have the same mods and savefiles
alice_play_save_stream;Host is streaming a save to you, wait until it completes
ai_will_accept_po;They will accept this offer
ai_will_not_accept_po;They will NOT accept this offer
close_and_del;Close & Delete Factory
cb_conditions_header;Conditions to use:
as_a_vassal;as a vassal
change_state_name_to;change state name to $text$
alice_join_crisis_offer;$ACTOR$ will give us the following if we join their side in the current crisis:
alice_unit_disable_rebel_hunt;Stop hunting rebels
alice_regiment_battle_info;$m$ $name$ ?Y$type$?!\nOrganisation: ?Y$organisation$?W\nStrength: ?Y$strength$?W
understaffed_regiment;?RThis regiment is understaffed and will only have $value$ soldiers!?W
tech_queue_explain;Press ?YSHIFT?W to add to queue, ?YRight-click?W to remove
alice_province_building_build;?YSHIFT?W to build on the entire ?Gstate?W.\n?YSHIFT-Right-click?W to build on the entire ?Gcountry?W.
commodity_shortage;?RThere is a shortage of this commodity
commodity_surplus;?GThere is a surplus of this commodity
alice_trade_flow_produced;?YDomestic production:
alice_trade_flow_consumed;?YDomestic consumption:
alice_trade_flow_label;Market overview:
alice_trade_flow_piechart_producers;Producers
alice_trade_flow_piechart_consumers;Consumers
alice_trade_flow_piechart_workforce;Investors
alice_diplo_release_subject;Release subject
alice_diplo_release_subject_desc;Releases one of our subjects, making them no longer our subject, alliances need to be broken separatedly
alice_diplo_release_subject_0;Is our subject
kill_leader;Kill leader
annex_null;becomes unowned
meets_the_conditions_of;meets the conditions of 
does_not_meet_the_conditions_of;does not meet the conditions of 
fab_finish_date;CB fabrication is expected to finish on $date$
fab_is_paused;CB fabrication is currently paused
macro_builder;Macro-builder
macro_total_desc;Total unit stats:
macro_switch_type_land;Build army
macro_switch_type_naval;Build navy
macro_warn_overseas;?RCan't build this unit overseas!?!
macro_warn_culture;?RCan only build using primary culture POPs!?!
macro_warn_unlocked;?RUsing units not unlocked yet!?!
macro_select_province;Please select a province on the map
macro_warn_insuff;?RCan't build $x$ $name$ (only $y$)?!
macro_warn_invalid_province;?RProvince not part of a region?!
shortcut_tooltip;Shortcut: ?Y$x$?!
filter_all;Show ?Yall?! relevant nations.
filter_allies;Filter by nations we have an ?Yalliance?! with.\n?YRight-click?! to filter by nations which want to ally us.
filter_enemies;Filter by nations that are either ?Yenemies or at war with us?!.
filter_sphere;Filter by nations that are within our ?Ysphere of influence?!.\n?YRight-click?! to filter by nations which we are influencing but not on our sphere.
filter_neighbors;Filter by nations we share a ?Yborder?! with.\n?YRight-click?! to filter by nations we share a ?Yborder?! and are not ?Yvassals?!.
filter_best_guess;Filter using a ?Ybest guess?! by relevancy, this includes all ?Yallies?!, ?Yenemies?!, ?Yspherelings?! and nations we share a ?Yborder?! with.
alice_warn_war_ends_for_us;?RThis will end the war for everyone on our side?!.
alice_invention_chance;The chance of discovering this ?Yinvention?! are as follows:
is_primary_culture;?Y$NAME$?! is the primary culture.
is_primary_religion;?Y$NAME$?! is the primary religion.
tt_can_use_nation;The conditions needed to allow the use of this wargoal:
et_on_add;The effects executed from adding this wargoal to a war:
et_on_po_accepted;The effects executed from accepting a peace offer with this wargoal:
alice_no_possible_units;No possible units can be built, and no units are in construction.
alice_debt_spending;Enable/disable debt spending
alice_loan_size;Our current maximum loan is $x$. Debt greater than that will cause us to go bankrupt
alice_currently_bankrupt;We are bankrupt (until $x$)
alice_no_loans_possible;We are currently unable to take loans
alice_rf_demands_enforced_trigger;The rebels will only enforce their demands if:
alice_rf_demands_enforced_effect;Once the rebels enforce their demands they will apply the following effect:
alice_rf_siege_won_trigger;If a rebel wins a siege, the following is checked for, for example in your capital $x$:
alice_rf_siege_won_effect;And if all of the above was true, the following effects apply, for example in your capital $x$:
may_month_name;May
alice_ca_cant_influence;We currently are unable to increase or decrease the opinion of other nations at the moment
alice_gp_status_regain_expiration;If we don't become rank ?Y$x$?W or higher, we will lose ?Ygreat power?W status by ?Y$date?W!
alice_mil_decay_description;Natural decay ?G-$x$
alice_con_decay_description;Natural decay ?R-$x$
x_from_y;$x$ from $y$
reinforce_rate;This regiment can reinforce up to $x$ soldiers per month.
reinforce_rate_none;This regiment can't currently be reinforced.
alice_domestic_investment_button;Investing in individual projects is ?Rdeprecated?W, use the ?Ydomestic investment?W slider on the budget screen instead
alice_domestic_investment_pops;We have $x$ capitalists we can indirectly give generous donations to
alice_domestic_investment_needs;They require $x$ each day to satisfy their luxurious lifestyle
alice_budget_scaled_inc;Income: ?G$value$
alice_budget_scaled_1;Poor tax: ?G$value$
alice_budget_scaled_2;Middle tax: ?G$value$
alice_budget_scaled_3;Rich tax: ?G$value$
alice_budget_scaled_4;Tariffs: ?G$value$
alice_budget_scaled_exp;Expenses: ?R$value$
alice_budget_scaled_5;Army maintanance: ?R$value$
alice_budget_scaled_6;Navy maintanance: ?R$value$
alice_budget_scaled_7;Construction: ?R$value$
alice_budget_scaled_8;Education: ?R$value$
alice_budget_scaled_9;Administration: ?R$value$
alice_budget_scaled_10;Social spending: ?R$value$
alice_budget_scaled_11;Military spending: ?R$value$
alice_budget_scaled_12;Domestic investments: ?R$value$
alice_budget_scaled_13;Overseas spending: ?R$value$
alice_budget_scaled_14;Stockpile filling: ?R$value$
alice_budget_scaled_15;War subsidies: ?R$value$
alice_budget_scaled_16;Diplomatic interest: ?G$value$
alice_budget_scaled_17;Gold production: ?G$value$
alice_budget_scaled_net;Net revenue: ?Y$value$
alice_budget_setting_percent;Set at $perc$.
alice_spending_land_construction;Land construction in $name$: ?R$cost$?W
alice_spending_naval_construction;Naval construction in $name$: ?R$cost$?W
alice_spending_building_construction;Building construction in $name$: ?R$cost$?W
alice_spending_factory_construction;Factory construction in $name$: ?R$cost$?W
alice_spending_unit;Total spent on this unit in $name$: ?R$cost$?W
alice_spending_unit_1;Total spent on this unit: ?R$cost$?W
alice_spending_total;?YTotal spent:?W
alice_spending_commodity;?R$cost$?W - Needs $need$ of $name$ ($val$)
alice_spending_commodity_2;?R$cost$?W - Buying $need$ of $name$ (at $val$ x unit). Progress: $x$/$y$
alice_recommended_build;?GThis factory is recommended to be built?W
alice_factory_bonus;We will receive a ?Y$x$?W bonus if:
alice_factory_inputs;Inputs required:
alice_factory_input_item;?R$cost$?W - Needs $need$ of $name$ ($val$)
alice_factory_base_workforce;Base workforce ?Y$x$?W
alice_factory_total_bonus;This sums to about ?Y$x$?W
alice_slider_controls;?YLeft-Click?W to increment by ?Y$value$?W\n?YSHIFT-Left-Click?W to increment by ?Y$x$?W\n?YSHIFT-Right-Click?W to increment to maximum
alice_slider_controls_2;?YLeft-Click?W to decrement by ?Y$value$?W\n?YSHIFT-Left-Click?W to decrement by ?Y$x$?W\n?YSHIFT-Right-Click?W to decrement to minimum
explain_colonial_points;Secondary and Great Powers accumulate colonial points.
alice_lobby_back;Back to lobby
alice_lobby_back_tt_1;You're already in the fucking lobby
alice_lobby_back_tt_2;Only the host may go back to lobby
reopen_with_tab;You can reopen this window with ?YTAB?W
alice_topbar_tab_1;Open or close this tab
alice_topbar_tab_2;Open or close the population tab
colonial_points_from_technology;From technologies:
colonial_points_from_naval_bases;From naval bases:
colonial_points_from_ships;From ships:
used_colonial_maintenance;Maintaining existing colonies:
topbar_pause_speed;Pauses the game, click again to unpause
att_call_will_accept;$x$ will join your war
att_call_will_decline;$x$ will not join your war
att_call_is_human;$x$ may join your war
att_call_no_allies;You don't have any allies!
domestic_investment_label;Domestic investment:
modifier_min_domestic_investment;Min domestic investment rate
modifier_max_domestic_investment;Max domestic investment rate
mouse_left_click_mode_label;Click hold release
alice_supply_limit_desc;Supply limit: $x$
alice_factory_worker_1;Employed: ?G$x$?W
alice_factory_worker_2;Unemployed: ?R$x$?W
alice_rgo_unemployment_country_alert;The following states have unemployed RGOs:
pop_promote_info_on_sel_2;$val$ expected change of $who$ in $where$ over the next month.
alice_readme;?GWelcome to Project Alice!?W\nProject Alice is an emulation (not a simulator!) of your favourite victorian-era video game, in other words, we tweak some mechanics to make it more easier to understand for newer players, while also making the world more dynamic and entertaining, fixing old bugs (such as with crises) and implementing new quality of life features.\n?GNew features!?W\n?YGlobe?W: ?GLoved?W by many, ?Rhated?W by some, turn it off if it bothers you!\n?YTech queue:?W SHIFT-Right click to add technologies to the tech queue! (Right click to unqueue)\n?YDomestic investment:?W Instead of investing on individual projects, do it in one go\n?YPerformance:?W The ticks per second (not FPS) are atleast, x10 times faster\n?YLinter:?W Get coverage errors and warnings in your mods, catch bugs and typos easily\n?YMacro builder:?W Build units with varying compositions using our macro builder\n?Y11 new mapmodes:?W Religion, fort, employment, etc\n?YBuild in entire country:?W SHIFT Right-click to build in the entire country!\n?GControls:?W\n?YTAB?W: Open chat window\n?YESC?W: Open main menu and settings menu\n?YTilde (`)?W or ?YTilde (~)?W: Open console\n?GEnjoy the game! =^w^=?W
alice_nf_controls;?YLeft-click?W to select or replace\n?YRight-click?W to remove
unit_controls_tooltip_1;?YLeft-click?W select (deselecting everything else)\n?YSHIFT-Left-click?W add to selection
unit_controls_tooltip_2;?YRight-click on a province?W partial retreat (?Gcycling/rotation?W) to province
unit_control_group_tooltip;Press ?YCTRL-1?W thru ?YCTRL-9?W to assign/unassign this unit to a control group, which you can then press ?Y1?W thru ?Y9?W to select
console_button_tooltip;Open the command console
demobilize;Demobilize
mobilize;Mobilize
alice_cb_creation_detail_none;Please select a casus belli to start fabricating against $country$.
alice_cb_creation_detail;We can fabricate a casus belli against $country$ with the reason of ?Y$type$?W. This process may take roughly about ?Y$days$?W, and the potential costs from being discovered will give us ?R$badboy$?W infamy.
alice_mob_controls;?YRight-click?W to remobilize
alice_mw_create_1;Add general
alice_mw_create_2;Add admiral
alice_mw_create_lpb;?YLeadership points?W will automatically be used to create generals or admirals when hitting the cap
alice_mw_create_lp;We need ?R$x$?W ?Yleadership points?W to add
alice_mw_controls_1;?YRight-click?W create ?Gall?W possible as generals
alice_mw_controls_2;?YRight-click?W create ?Gall?W possible as admirals
alice_daily_leadership_tt;$poptype$ provides ?G$value$?W leadership points (?Y$fraction$?W of the population, ?Y$optimal$?W is optimal). Extra leadership points will automatically be spent on creating new generals.
unit_current_supply;This unit received ?Y$val$%?W of the supplies needed in the last day.\nThe amount we could get of our current supply consumption was:
unit_current_supply_high;$what$: ?Y$val$?W/?Y$value$?! ?l(?W?G$total$%?W?l demand satisfaction)
unit_current_supply_mid;$what$: ?Y$val$?!/?Y$value$?! ?l(?O$total$%?W?l demand satisfaction)
unit_current_supply_low;$what$: ?Y$val$?!/?Y$value$?! ?l(?R$total$%?W?l demand satisfaction)
alice_crisis_inactive;No current active crisis
alice_crisis_finding_attacker;Finding an attacker for the current crisis
alice_crisis_finding_defender;Finding a defender for the current crisis
alice_crisis_heating_up;Crisis is heating up in temperature, currently at ?R$temperature$?W
alice_last_crisis;Last crisis ocurred in $date$ (there is a $time$ month cooldown between crises)
alice_crisis_par_1;?RAttackers?W:
alice_crisis_par_2;?BDefenders?W:
alice_crisis_par_3;?YMerely interested (no side)?W:
alice_commodity_cprice;Current price: $x$
alice_commodity_cost;Cost: $x$
alice_commodity_eprice;Effective price: $x$
alice_trade_top_producers;Top ?Y$value$?W producers:
alice_trade_no_producers;?RNobody is producing this commodity?W
alice_political_party_trigger;Only available from ?Y$date_long_0$?W to ?Y$date_long_1$?W, and satisfying the following trigger:
alice_political_party_no_trigger;Only available from ?Y$date_long_0$?W to ?Y$date_long_1$?W
alice_ai_decision;AI's chance of choosing this decision will depend on:
alice_mobilized_is_ai_controlled;Whetever mobilized units will automatically become AI controlled
alice_ai_controlled_unit;Enable/Disable AI control of this unit, the unit will:\n- Automatically reinforce frontlines\n- Automatically siege when it's safe to do so\n- Hunt rebels\n- Form a defensive position against nations we're likely to attack (this is at the AI's discretion, and only at peace time)\nIf you want to make this unit target a specific nation or region, first move it close to that region or nation, then turn on AI control - because the AI will override all of your commands until you turn it off again
alice_navy_allocation_tt;With ?Y$curr$?W ships, we accumulate a total supply throughput of ?Y$tot$?W, requiring ?Y$req$?W for our fleets. A detailed summary of the consumption of each naval fleet:
alice_navy_allocation_2;$name$: ?Y$value$?W (?Y$perc$?W)
alice_wg_condition_1;Does not have status quo as a defender
alice_wg_condition_2;Is in a war with us
alice_wg_condition_3;Unique wargoal (isn't a duplicate of another wargoal)
alice_wg_condition_4;Not on the same side as us
alice_wg_condition_5;Satisfies triggers for wargoal
alice_wg_condition_6;Enough jingoism (needs $need$, has $value$)
alice_wg_condition_7;Is constructable wargoal
alice_tt_wg_infamy_limit;?RThis wargoal will exceed the infamy limit?W
alice_wg_usage_trigger;Can only use if the following trigger is satisfied:
province_id;Province Id
nation_tag;Nation tag
alice_rgo_trade_prod_1;RGO Farming Production: $x$ ($y$)
alice_rgo_trade_prod_2;RGO Mining Production: $x$ ($y$)
alice_rgo_trade_prod_3;RGO Minting Production: $x$ ($y$)
alice_artisan_trade_prod;Artisan Production: $x$ ($y$)
alice_factory_trade_prod;Factory Production: $x$ ($y$)
alice_all_trade_prod;Total Production: $x$
alice_interested_in_alliance;(Only applies to AI nations) Mark that we're interested in an alliance with this country, and will immediately accept alliance offers
alice_merge_rally_point_why;Merge rally points are deprecated, rally points will now automatically merge
alice_mvcap_1;Moves the capital to this province
alice_mvcap_2;No ongoing crisis
alice_mvcap_3;At peace
alice_mvcap_4;Not the capital already
alice_mvcap_5;Not colonial
alice_mvcap_6;On the same continent as current capital
alice_mvcap_7;Dominant accepted culture
alice_mvcap_8;This province is not being sieged
alice_mvcap_9;The current capital not being sieged
alice_mvcap_10;Is owned by you
alice_mvcap_11;Is controlled by you
alice_mvcap_12;Is owner core
alice_pnt_pops;?YPopulation:?! $x$
alice_pnt_rpops;?YRich strata:?! $x$ ($y$)
alice_pnt_mpops;?YMiddle strata:?! $x$ ($y$)
alice_pnt_ppops;?YPoor strata:?! $x$ ($y$)
alice_pnt_culture;?YCulture:?! $x$
alice_pnt_religion;?YReligion:?! $x$
alice_pnt_dominant_religion;?YDominant religion:?! $x$
alice_pnt_dominant_ideology;?YDominant Ideology:?! $x$
ledger_ppp_gdp;GDP(PPP)
ledger_ppp_gdp_per_capita;GDP(PPP) per 1m people
