PROV1;锡特卡
PROV2;雅库塔特
PROV3;基奈
PROV4;荷兰港
PROV5;伯特利
PROV6;怀特霍斯
PROV7;道森
PROV8;罗斯河
PROV9;辛普森堡
PROV10;伊努维克
PROV11;回音湾
PROV12;依赖
PROV13;温哥华
PROV14;温哥华岛
PROV15;鲁珀特王子港
PROV16;格莱诺拉
PROV17;阿特林
PROV18;圣约翰堡
PROV19;乔治王子城
PROV20;基洛纳
PROV21;弗农
PROV22;埃德蒙顿
PROV23;阿萨巴斯卡码头
PROV24;碧玉
PROV25;班夫
PROV26;卡尔加里
PROV27;登伍德
PROV28;麦克劳德堡
PROV29;梅迪辛哈特
PROV30;里贾纳
PROV31;斯坦利
PROV32;阿尔伯特亲王城
PROV33;阿斯奎斯
PROV34;萨斯卡通
PROV35;枫溪
PROV36;温尼伯
PROV37;丘吉尔
PROV38;印第安湖
PROV39;挪威之家
PROV40;王太子
PROV41;布兰登
PROV42;彭比纳
PROV43;阿尔维亚特
PROV44;珊瑚港
PROV45;巴芬岛
PROV46;多伦多
PROV47;塞文堡
PROV48;奥尔巴尼堡
PROV49;德莱顿
PROV50;桑德贝
PROV51;苏圣玛丽
PROV52;萨德伯里
PROV53;巴里
PROV54;温莎
PROV55;汉密尔顿
PROV56;金士顿
PROV57;渥太华
PROV58;蒙特利尔
PROV59;尼切康
PROV60;鲁珀特堡
PROV61;希库蒂米
PROV62;七岛
PROV63;特米斯卡姆
PROV64;三河市
PROV65;魁北克市
PROV66;舍布鲁克
PROV67;里穆斯基
PROV68;弗雷德里克顿
PROV69;巴瑟斯特
PROV70;爱德华王子岛
PROV71;哈利法克斯
PROV72;特鲁罗
PROV73;布雷顿角岛
PROV74;圣约翰斯
PROV75;米勒敦
PROV76;霍普代尔
PROV77;圣皮埃尔和密克隆群岛
PROV78;西雅图
PROV79;斯波坎
PROV80;瓦拉瓦拉
PROV81;波特兰
PROV82;贝克城
PROV83;克拉马斯福尔斯
PROV84;旧金山
PROV85;尤里卡
PROV86;萨克拉门托
PROV87;蒙特雷
PROV88;马里波萨
PROV89;洛杉矶
PROV90;圣地亚哥
PROV91;博伊西
PROV92;科达伦
PROV93;波卡特洛
PROV94;卡森城
PROV95;埃尔科
PROV96;拉斯维加斯
PROV97;盐湖城
PROV98;神灵
PROV99;摩押
PROV100;凤凰
PROV101;弗拉格斯塔夫
PROV102;图森
PROV103;圣达菲
PROV104;阿尔伯克基
PROV105;拉斯克鲁塞斯
PROV106;丹佛
PROV107;大章克申
PROV108;阿拉莫萨
PROV109;普韦布洛
PROV110;夏安
PROV111;科迪
PROV112;卡斯帕
PROV113;博兹曼
PROV114;米苏拉
PROV115;大瀑布
PROV116;比林斯
PROV117;俾斯麦
PROV118;迈诺特
PROV119;狄金森
PROV120;苏福尔斯
PROV121;杜普雷
PROV122;拉皮德城
PROV123;奥马哈
PROV124;联盟
PROV125;北普拉特
PROV126;托皮卡
PROV127;古德兰
PROV128;威奇托
PROV129;俄克拉荷马城
PROV130;塔勒阔
PROV131;奥克马尔吉
PROV132;休斯顿
PROV133;奥斯汀
PROV134;达拉斯
PROV135;拉伯克
PROV136;埃尔帕索
PROV137;圣安东尼奥
PROV138;拉雷多
PROV139;新奥尔良
PROV140;巴吞鲁日
PROV141;查尔斯湖
PROV142;什里夫波特
PROV143;小石头
PROV144;温泉
PROV145;费耶特维尔
PROV146;圣路易斯
PROV147;乔普林
PROV148;马尔登
PROV149;杰斐逊城
PROV150;堪萨斯城
PROV151;得梅因
PROV152;奥斯卡卢萨
PROV153;锡达拉皮兹
PROV154;苏城
PROV155;明尼阿波利斯
PROV156;花岗岩瀑布
PROV157;穆尔黑德
PROV158;德卢斯
PROV159;密尔沃基
PROV160;欧克莱尔
PROV161;绿湾
PROV162;麦迪逊
PROV163;芝加哥
PROV164;罗克福德
PROV165;原野
PROV166;皮奥里亚
PROV167;斯普林菲尔德
PROV168;卡本代尔
PROV169;印第安纳波利斯
PROV170;埃文斯维尔
PROV171;南本德
PROV172;韦恩堡
PROV173;底特律
PROV174;大急流城
PROV175;萨吉诺
PROV176;特拉弗斯城
PROV177;马凯特
PROV178;克利夫兰
PROV179;哥伦布
PROV180;桑达斯基
PROV181;代顿
PROV182;辛辛那提
PROV183;玛丽埃塔
PROV184;路易斯维尔
PROV185;列克星敦
PROV186;鲍灵格林
PROV187;帕迪尤卡
PROV188;纳什维尔
PROV189;孟菲斯
PROV190;诺克斯维尔
PROV191;查塔努加
PROV192;杰克逊
PROV193;维克斯堡
PROV194;比洛克西
PROV195;蒙哥马利
PROV196;塔斯卡卢萨
PROV197;移动的
PROV198;塔拉哈西
PROV199;圣奥古斯丁
PROV200;坦帕
PROV201;亚特兰大
PROV202;瓦尔多斯塔
PROV203;百慕大
PROV204;萨凡纳
PROV205;查尔斯顿
PROV206;哥伦比亚
PROV207;格林维尔
PROV208;罗利
PROV209;夏洛特
PROV210;威尔明顿
PROV211;里士满
PROV212;马纳萨斯
PROV213;弗雷德里克斯堡
PROV214;诺福克
PROV215;斯汤顿
PROV216;罗阿诺克
PROV217;惠灵
PROV218;亨廷顿
PROV219;巴尔的摩
PROV220;华盛顿
PROV221;黑格斯敦
PROV222;多佛
PROV223;费城
PROV224;斯克兰顿
PROV225;威廉斯波特
PROV226;哈里斯堡
PROV227;匹兹堡
PROV228;伊利
PROV229;纽瓦克
PROV230;特伦顿
PROV231;大西洋城
PROV232;纽约
PROV233;长岛
PROV234;奥尔巴尼
PROV235;宾厄姆顿
PROV236;水牛
PROV237;罗切斯特
PROV238;锡拉丘兹
PROV239;沃特敦
PROV240;普拉茨堡
PROV241;哈特福德
PROV242;普罗维登斯
PROV243;波士顿
PROV244;新贝德福德
PROV245;皮茨菲尔德
PROV246;伯灵顿
PROV247;和睦
PROV248;刘易斯顿
PROV249;班戈
PROV250;驯鹿
PROV251;戈德哈布
PROV252;冰岛
PROV253;法罗群岛
PROV254;贝尔法斯特
PROV255;伦敦德里
PROV256;阿尔马
PROV257;多尼戈尔
PROV258;戈尔韦
PROV259;斯莱戈
PROV260;软木
PROV261;利默里克
PROV262;沃特福德
PROV263;都柏林
PROV264;基尔代尔
PROV265;韦克斯福德
PROV266;香港仔
PROV267;因弗内斯
PROV268;邓迪
PROV269;爱丁堡
PROV270;斯特林
PROV271;格拉斯哥
PROV272;邓弗里斯
PROV273;卡迪夫
PROV274;开襟衫
PROV275;兰德林多德
PROV276;霍利黑德
PROV277;利物浦
PROV278;曼彻斯特
PROV279;卡莱尔
PROV280;泰恩河畔纽卡斯尔
PROV281;船体
PROV282;利兹
PROV283;谢菲尔德
PROV284;伯明翰
PROV285;切斯特
PROV286;什鲁斯伯里
PROV287;考文垂
PROV288;诺丁汉
PROV289;莱斯特
PROV290;林肯
PROV291;剑桥
PROV292;伊普斯威奇
PROV293;切姆斯福德
PROV294;牛津
PROV295;圣奥尔本斯
PROV296;布里斯托尔
PROV297;索尔兹伯里
PROV298;洗澡
PROV299;普利茅斯
PROV300;伦敦
PROV301;坎特伯雷
PROV302;布莱顿
PROV303;南安普敦
PROV304;马恩岛
PROV305;特隆赫姆
PROV306;博多
PROV307;哈默菲斯特
PROV308;奥勒松
PROV309;卑尔根
PROV310;克里斯蒂安桑
PROV311;希恩
PROV312;德拉门
PROV313;克里斯蒂安尼亚
PROV314;哈马尔
PROV315;利勒哈默尔
PROV316;腓特烈斯塔
PROV317;耶夫勒
PROV318;松兹瓦尔
PROV319;厄斯特松德
PROV320;乌梅贾
PROV321;吕勒
PROV322;斯德哥尔摩
PROV323;法轮
PROV324;乌普萨拉
PROV325;诺尔雪平
PROV326;韦斯特拉斯
PROV327;厄勒布鲁
PROV328;卡尔斯塔德
PROV329;哥德堡
PROV330;博拉斯
PROV331;哥特兰岛
PROV332;卡尔马
PROV333;韦克舍
PROV334;马尔默
PROV335;卡尔斯克鲁纳
PROV336;奥卢
PROV337;卡亚尼
PROV338;托尔尼奥
PROV339;维普里
PROV340;科特卡
PROV341;米凯利
PROV342;库奥皮奥
PROV343;赫尔辛基
PROV344;海门林纳
PROV345;图尔库
PROV346;瓦萨
PROV347;坦佩雷
PROV348;兰群岛
PROV349;雷瓦尔
PROV350;纳尔瓦
PROV351;派尔努
PROV352;多帕特
PROV353;奥塞尔
PROV354;里加
PROV355;瓦尔米耶拉
PROV356;陶格夫匹尔斯
PROV357;叶尔加瓦
PROV358;文茨皮尔斯
PROV359;利耶帕亚
PROV360;维尔纽斯
PROV361;考纳斯
PROV362;马里扬波尔
PROV363;帕内韦日斯
PROV364;希奥利艾
PROV365;帕兰加
PROV366;奥尔胡斯
PROV367;奥尔堡
PROV368;里伯
PROV369;基尔
PROV370;弗伦斯堡
PROV371;奥本拉
PROV372;哥本哈根
PROV373;欧登塞
PROV374;博恩霍尔姆
PROV375;阿姆斯特丹
PROV376;鹿特丹
PROV377;乌得勒支
PROV378;米德尔堡
PROV379;埃因霍温
PROV380;布雷达
PROV381;马斯特里赫特
PROV382;阿纳姆
PROV383;格罗宁根
PROV384;兹沃勒
PROV385;吕伐登
PROV386;阿森
PROV387;布鲁塞尔
PROV388;布鲁日
PROV389;根特
PROV390;安特卫普
PROV391;哈瑟尔特
PROV392;那慕尔
PROV393;图尔奈
PROV394;沙勒罗瓦
PROV395;利奇格
PROV396;温泉
PROV397;卢森堡
PROV398;阿尔隆
PROV399;里尔
PROV400;敦刻尔克
PROV401;阿拉斯
PROV402;亚眠
PROV403;拉昂
PROV404;康布雷
PROV405;查尔维尔
PROV406;特鲁瓦
PROV407;肖蒙
PROV408;查隆斯
PROV409;斯特拉斯堡
PROV410;科尔马
PROV411;南希
PROV412;梅斯
PROV413;凡尔登
PROV414;埃皮纳勒
PROV415;鲁昂
PROV416;埃夫勒
PROV417;阿朗松
PROV418;卡昂
PROV419;海峡群岛
PROV420;布雷斯特
PROV421;圣布里厄
PROV422;瓦讷
PROV423;南特
PROV424;雷恩
PROV425;巴黎
PROV426;沙特尔
PROV427;默伦
PROV428;第戎
PROV429;欧塞尔
PROV430;穆兰
PROV431;梅肯
PROV432;贝桑松
PROV433;朗斯
PROV434;昂热
PROV435;拉瓦尔
PROV436;勒芒
PROV437;拉罗什
PROV438;奥尔良
PROV439;布尔日
PROV440;布卢瓦
PROV441;旅游
PROV442;拉罗谢尔
PROV443;普瓦捷
PROV444;安古莱姆
PROV445;利摩日
PROV446;沙托鲁
PROV447;薄纱
PROV448;克莱蒙费朗
PROV449;奥里亚克
PROV450;卡奥尔
PROV451;里昂
PROV452;圣艾蒂安
PROV453;价
PROV454;格勒诺布尔
PROV455;图卢兹
PROV456;蒙托邦
PROV457;富瓦
PROV458;波尔多
PROV459;蒙德马桑
PROV460;波城
PROV461;蒙彼利埃
PROV462;罗德兹
PROV463;卡尔卡松
PROV464;佩皮尼昂
PROV465;安纳西
PROV466;尚贝里
PROV467;马赛
PROV468;阿维尼翁
PROV469;迪涅
PROV470;土伦
PROV471;弗雷瑞斯
PROV472;好的
PROV473;科西嘉岛
PROV474;拉科鲁尼亚
PROV475;奥维耶多
PROV476;维戈
PROV477;莱昂
PROV478;桑坦德银行
PROV479;布尔戈斯
PROV480;巴利亚多利德
PROV481;索里亚
PROV482;萨拉曼卡
PROV483;阿维拉
PROV484;巴达霍斯
PROV485;阿尔门德拉莱霍
PROV486;卡塞雷斯
PROV487;马德里
PROV488;锡古恩萨
PROV489;托莱多
PROV490;昆卡
PROV491;雷阿尔城
PROV492;毕尔巴鄂
PROV493;潘普洛纳
PROV494;洛格罗尼奥
PROV495;萨拉戈萨
PROV496;韦斯卡
PROV497;特鲁埃尔
PROV498;巴塞罗那
PROV499;赫罗纳
PROV500;莱里达
PROV501;塔拉戈纳
PROV502;巴利阿里群岛
PROV503;巴伦西亚
PROV504;卡斯特利翁
PROV505;阿利坎特
PROV506;卡塔赫纳
PROV507;穆尔西亚
PROV508;阿尔瓦塞特
PROV509;塞维利亚
PROV510;科尔多瓦
PROV511;韦尔瓦
PROV512;加的斯
PROV513;格拉纳达
PROV514;马拉加
PROV515;阿尔梅里亚
PROV516;哈恩
PROV517;直布罗陀
PROV518;波尔图
PROV519;维拉·雷亚尔
PROV520;科维利亚
PROV521;里斯本
PROV522;科英布拉
PROV523;阿布兰特斯
PROV524;塞图巴尔
PROV525;埃武拉
PROV526;贝贾
PROV527;法鲁
PROV528;汉堡
PROV529;劳恩堡
PROV530;吕贝克
PROV531;施塔德
PROV532;吕讷堡
PROV533;黑尔戈兰岛
PROV534;汉诺威
PROV535;宁堡
PROV536;不伦瑞克
PROV537;哥廷根
PROV538;奥斯纳布吕克
PROV539;不来梅
PROV540;奥尔登堡
PROV541;克洛彭堡
PROV542;林根
PROV543;埃姆登
PROV544;什未林
PROV545;诺伊斯特雷利茨
PROV546;什泰廷
PROV547;斯维内明德
PROV548;施特拉尔松德
PROV549;柏林
PROV550;普伦茨劳
PROV551;普利兹沃克
PROV552;科特布斯
PROV553;马格德堡
PROV554;爱尔福特
PROV555;德绍
PROV556;哈勒
PROV557;施滕达尔
PROV558;德累斯顿
PROV559;莱比锡
PROV560;开姆尼茨
PROV561;魏玛
PROV562;哥达
PROV563;迈宁根
PROV564;法兰克福
PROV565;威斯巴登
PROV566;卡塞尔
PROV567;吉森
PROV568;富尔达
PROV569;曼海姆
PROV570;美因茨
PROV571;凯撒斯劳滕
PROV572;特里尔
PROV573;萨尔布吕肯
PROV574;克罗伊茨纳赫
PROV575;科隆
PROV576;亚琛
PROV577;克利夫斯
PROV578;杜塞尔多夫
PROV579;科布伦茨
PROV580;多特蒙德
PROV581;明斯特
PROV582;明登
PROV583;锡根
PROV584;科尔巴赫
PROV585;代特莫尔德
PROV586;卡尔斯鲁厄
PROV587;弗莱堡
PROV588;康斯坦茨
PROV589;斯图加特
PROV590;海尔布隆
PROV591;蒂宾根
PROV592;奥格斯堡
PROV593;乌尔姆
PROV594;西格马林根
PROV595;纽伦堡
PROV596;阿沙芬堡
PROV597;维尔茨堡
PROV598;拜罗伊特
PROV599;慕尼黑
PROV600;兰茨胡特
PROV601;因戈尔施塔特
PROV602;雷根斯堡
PROV603;苏黎世
PROV604;巴塞尔
PROV605;伯尔尼
PROV606;卢塞恩
PROV607;日内瓦
PROV608;纳沙泰尔
PROV609;西滕
PROV610;波纳佩
PROV611;库尔
PROV612;因斯布鲁克
PROV613;萨尔茨堡
PROV614;布雷根茨
PROV615;利恩茨
PROV616;格拉茨
PROV617;尤登堡
PROV618;克拉根福
PROV619;维也纳
PROV620;圣珀尔滕
PROV621;克雷姆斯
PROV622;林茨
PROV623;肖普朗
PROV624;艾森斯塔特
PROV625;布拉格
PROV626;赫拉德茨·克拉洛韦
PROV627;卡尔斯巴德
PROV628;奥西格
PROV629;比尔森
PROV630;布杰约维采
PROV631;布尔诺
PROV632;奥洛穆茨
PROV633;布拉迪斯拉发
PROV634;特伦辛
PROV635;尼特拉
PROV636;班斯卡·比斯特里察
PROV637;科希策
PROV638;罗兹纳瓦
PROV639;佐洛埃格塞格
PROV640;佩奇
PROV641;布达佩斯
PROV642;杰尔
PROV643;塞克希白堡
PROV644;考波什堡
PROV645;凯奇凯梅特
PROV646;米什科尔茨
PROV647;奥拉迪亚
PROV648;德布勒森
PROV649;塞格德
PROV650;贝凯什克萨巴
PROV651;萨特马尔
PROV652;特梅斯瓦尔
PROV653;雷西卡巴尼亚
PROV654;克卢日
PROV655;久拉费赫瓦尔
PROV656;德瓦
PROV657;纳吉泽本
PROV658;夏威夷
PROV659;布拉索
PROV660;乌德瓦海伊
PROV661;贝斯泰尔采
PROV662;塞尔瑙蒂
PROV663;苏恰瓦
PROV664;布加勒斯特
PROV665;特尔古吉乌
PROV666;克拉约瓦
PROV667;特尔戈维什泰
PROV668;布勒伊拉
PROV669;卡拉拉西
PROV670;雅西
PROV671;博托萨尼
PROV672;巴克乌
PROV673;加拉蒂
PROV674;康斯坦察
PROV675;图尔恰
PROV676;基希讷乌
PROV677;巴尔蒂
PROV678;伊兹梅尔
PROV679;科尔贝格
PROV680;科斯林
PROV681;屈斯特林
PROV682;布雷斯劳
PROV683;利格尼茨
PROV684;奥佩尔恩
PROV685;卡托维茨
PROV686;莱恩群岛
PROV687;格尔利茨
PROV688;特罗波
PROV689;泰辛
PROV690;但泽
PROV691;图赫尔
PROV692;德国克朗
PROV693;埃尔宾
PROV694;跑步
PROV695;柯尼斯堡
PROV696;艾伦斯坦
PROV697;古宾宁
PROV698;梅梅尔
PROV699;波森
PROV700;布罗姆伯格
PROV701;格涅兹诺
PROV702;利沃夫
PROV703;克拉科夫
PROV704;诺维·萨茨
PROV705;普热梅希尔
PROV706;华沙
PROV707;苏瓦乌基
PROV708;普沃茨克
PROV709;洛姆扎
PROV710;斯基尔涅维采
PROV711;西德利采
PROV712;罗兹
PROV713;拉多姆
PROV714;塔尔努夫
PROV715;卢布林
PROV716;凯尔采
PROV717;卡利什
PROV718;明斯克
PROV719;比亚韦斯托克
PROV720;都灵
PROV721;奥斯塔
PROV722;诺瓦拉
PROV723;亚历山德里亚
PROV724;热那亚
PROV725;萨沃纳
PROV726;米兰
PROV727;贝加莫
PROV728;布雷西亚
PROV729;威尼斯
PROV730;维罗纳
PROV731;帕多瓦
PROV732;特雷维索
PROV733;乌迪内
PROV734;特伦特
PROV735;博曾
PROV736;的里雅斯特
PROV737;戈里齐亚
PROV738;帕尔马
PROV739;摩德纳
PROV740;马萨
PROV741;博洛尼亚
PROV742;费拉拉
PROV743;拉文纳
PROV744;佛罗伦萨
PROV745;来航
PROV746;卢卡
PROV747;锡耶纳
PROV748;格罗塞托
PROV749;罗马
PROV750;维泰博
PROV751;佩鲁贾
PROV752;安科纳
PROV753;天鹰座
PROV754;那不勒斯
PROV755;萨勒诺
PROV756;巴里
PROV757;福贾
PROV758;布林迪西
PROV759;卡拉布里亚雷焦
PROV760;卡坦扎罗
PROV761;波坦察
PROV762;巴勒莫
PROV763;墨西拿
PROV764;卡塔尼亚
PROV765;卡利亚里
PROV766;萨萨里
PROV767;马里博尔
PROV768;卢布尔雅那
PROV769;波斯托伊纳
PROV770;波拉
PROV771;萨格勒布
PROV772;西萨克
PROV773;卡尔洛瓦茨
PROV774;塞尼
PROV775;瓦拉日丁
PROV776;别洛瓦尔
PROV777;波热加
PROV778;阜姆
PROV779;奥西耶克
PROV780;分裂
PROV781;扎达尔
PROV782;杜布罗夫尼克
PROV783;萨拉热窝
PROV784;比哈克
PROV785;巴尼亚卢卡
PROV786;图兹拉
PROV787;福卡
PROV788;莫斯塔尔
PROV789;利夫诺
PROV790;基特韦
PROV791;米特罗维察
PROV792;潘切沃
PROV793;武科瓦尔
PROV794;贝尔格莱德
PROV795;博尔
PROV796;克拉古耶瓦茨
PROV797;乌日采
PROV798;尼什
PROV799;莱斯科瓦茨
PROV800;乌尔齐尼
PROV801;塔希提岛
PROV802;普里什蒂纳
PROV803;普里兹伦
PROV804;新帕扎尔
PROV805;萨洛尼卡
PROV806;斯科普里
PROV807;比托拉
PROV808;佩特里奇
PROV809;苏菲亚
PROV810;维丁
PROV811;诡计
PROV812;普列文
PROV813;树门
PROV814;瓦尔纳
PROV815;普罗夫迪夫
PROV816;旧扎戈拉
PROV817;布尔加斯
PROV818;西利斯特尔
PROV819;弗洛里娜
PROV820;格雷韦纳
PROV821;埃德萨
PROV822;多陀螺仪
PROV823;卡瓦拉
PROV824;贾尼娜
PROV825;阿尔塔
PROV826;科孚岛
PROV827;桑特岛
PROV828;埃迪尔内
PROV829;克桑特
PROV830;德德加奇
PROV831;拉里萨
PROV832;沃洛斯
PROV833;特里卡拉
PROV834;雅典
PROV835;阿姆菲萨
PROV836;拉米亚
PROV837;米索隆吉
PROV838;哈尔基斯
PROV839;纳夫普利翁
PROV840;科林斯
PROV841;卡拉马塔
PROV842;帕特雷
PROV843;希俄斯
PROV844;米特林
PROV845;基克拉泽斯
PROV846;十二群岛
PROV847;干尼亚
PROV848;伊拉克利翁
PROV849;地拉那
PROV850;斯库台
PROV851;杜勒斯
PROV852;发罗勒
PROV853;吉诺卡斯特
PROV854;马耳他
PROV855;尼科西亚
PROV856;利马索尔
PROV857;法马古斯塔
PROV858;克尔克拉雷利
PROV859;加利波利
PROV860;伊斯坦布尔
PROV861;于斯屈达尔
PROV862;伊兹米特
PROV863;囊
PROV864;巴勒克西尔
PROV865;恰纳卡莱
PROV866;阿菲永
PROV867;库塔希亚
PROV868;埃斯基谢希尔
PROV869;伊兹密尔
PROV870;马尼萨
PROV871;代尼兹利
